eighth_note,midi_note_num,diatonic_note_num,chromatic_pitch_class,beat_strength,bar_num,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,67,33,7,0,0,0,7,4,7,5,0,0,0,0
1,64,31,4,1,1,0,4,2,4,3,-3,-2,-1,-1
2,67,33,7,0,1,0,7,4,7,5,3,2,1,0
3,67,33,7,0,1,0,7,4,7,5,3,2,1,0
4,72,36,0,0,1,0,12,7,0,1,5,3,1,1
5,71,35,11,0,1,0,11,6,11,7,-1,-1,-1,0
6,71,35,11,0,1,0,11,6,11,7,-1,-1,-1,0
7,71,35,11,1,2,0,11,6,11,7,0,0,0,0
8,69,34,9,0,2,0,9,5,9,6,-2,-1,-1,-1
9,69,34,9,0,2,0,9,5,9,6,0,0,0,-1
10,69,34,9,0,2,0,9,5,9,6,0,0,0,-1
11,72,36,0,0,2,0,12,7,0,1,3,2,1,0
12,72,36,0,0,2,0,12,7,0,1,3,2,1,0
13,71,35,11,1,3,0,11,6,11,7,-1,-1,-1,-1
14,69,34,9,0,3,0,9,5,9,6,-2,-1,-1,-2
15,69,34,9,0,3,0,9,5,9,6,-2,-1,-1,-2
16,67,33,7,0,3,0,7,4,7,5,-2,-1,-1,-3
17,65,32,5,0,3,0,5,3,5,4,-2,-1,-1,-4
18,65,32,5,0,3,0,5,3,5,4,-2,-1,-1,-4
19,64,31,4,1,4,0,4,2,4,3,-1,-1,-1,-5
20,64,31,4,0,4,0,4,2,4,3,0,0,0,-5
21,64,31,4,0,4,0,4,2,4,3,0,0,0,-5
22,64,31,4,0,4,0,4,2,4,3,0,0,0,-5
23,67,33,7,0,4,0,7,4,7,5,3,2,1,-4
24,67,33,7,0,4,0,7,4,7,5,3,2,1,-4
25,64,31,4,1,5,0,4,2,4,3,-3,-2,-1,-5
26,67,33,7,0,5,0,7,4,7,5,3,2,1,-4
27,67,33,7,0,5,0,7,4,7,5,3,2,1,-4
28,72,36,0,0,5,0,12,7,0,1,5,3,1,-3
29,67,33,7,0,5,0,7,4,7,5,-5,-3,-1,-4
30,67,33,7,0,5,0,7,4,7,5,-5,-3,-1,-4
31,71,35,11,1,6,0,11,6,11,7,4,2,1,-3
32,69,34,9,0,6,0,9,5,9,6,-2,-1,-1,-4
33,69,34,9,0,6,0,9,5,9,6,0,0,0,-4
34,69,34,9,0,6,0,9,5,9,6,0,0,0,-4
35,72,36,0,0,6,0,12,7,0,1,3,2,1,-3
36,72,36,0,0,6,0,12,7,0,1,3,2,1,-3
37,71,35,11,1,7,0,11,6,11,7,-1,-1,-1,-4
38,69,34,9,0,7,0,9,5,9,6,-2,-1,-1,-5
39,69,34,9,0,7,0,9,5,9,6,-2,-1,-1,-5
40,62,30,2,0,7,0,2,1,2,2,-7,-4,-1,-6
41,69,34,9,0,7,0,9,5,9,6,7,4,1,-5
42,67,33,7,0,7,0,7,4,7,5,-2,-1,-1,-6
43,64,31,4,1,8,0,4,2,4,3,-3,-2,-1,-7
44,64,31,4,0,8,0,4,2,4,3,0,0,0,-7
45,64,31,4,0,8,0,4,2,4,3,0,0,0,-7
46,64,31,4,0,8,0,4,2,4,3,0,0,0,-7
47,67,33,7,0,8,0,7,4,7,5,3,2,1,-6
48,67,33,7,0,8,0,7,4,7,5,3,2,1,-6
49,64,31,4,1,9,0,4,2,4,3,-3,-2,-1,-7
50,67,33,7,0,9,0,7,4,7,5,3,2,1,-6
51,67,33,7,0,9,0,7,4,7,5,3,2,1,-6
52,72,36,0,0,9,0,12,7,0,1,5,3,1,-5
53,76,38,4,0,9,0,16,9,4,3,4,2,1,-4
54,76,38,4,0,9,0,16,9,4,3,4,2,1,-4
55,74,37,2,1,10,0,14,8,2,2,-2,-1,-1,-5
56,72,36,0,0,10,0,12,7,0,1,-2,-1,-1,-6
57,72,36,0,0,10,0,12,7,0,1,-2,-1,-1,-6
58,69,34,9,0,10,0,9,5,9,6,-3,-2,-1,-7
59,72,36,0,0,10,0,12,7,0,1,3,2,1,-6
60,72,36,0,0,10,0,12,7,0,1,3,2,1,-6
61,71,35,11,1,11,0,11,6,11,7,-1,-1,-1,-7
62,69,34,9,0,11,0,9,5,9,6,-2,-1,-1,-8
63,69,34,9,0,11,0,9,5,9,6,-2,-1,-1,-8
64,67,33,7,0,11,0,7,4,7,5,-2,-1,-1,-9
65,69,34,9,0,11,0,9,5,9,6,2,1,1,-8
66,71,35,11,0,11,0,11,6,11,7,2,1,1,-7
67,72,36,0,1,12,0,12,7,0,1,1,1,1,-6
68,72,36,0,0,12,0,12,7,0,1,0,0,0,-6
69,72,36,0,0,12,0,12,7,0,1,0,0,0,-6
