eighth_note,midi_note_num,diatonic_note_num,chromatic_pitch_class,beat_strength,bar_num,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,62,30,2,0,0,0,-5,-3,7,5,0,0,0,0
1,67,33,7,1,1,0,0,0,0,1,5,3,1,1
2,62,30,2,0,1,0,-5,-3,7,5,-5,-3,-1,0
3,62,30,2,0,1,0,-5,-3,7,5,-5,-3,-1,0
4,64,31,4,0,1,0,-3,-2,9,6,2,1,1,1
5,62,30,2,0,1,0,-5,-3,7,5,-2,-1,-1,0
6,62,30,2,0,1,0,-5,-3,7,5,-2,-1,-1,0
7,60,29,0,1,2,0,-7,-4,5,4,-2,-1,-1,-1
8,60,29,0,0,2,0,-7,-4,5,4,0,0,0,-1
9,60,29,0,0,2,0,-7,-4,5,4,0,0,0,-1
10,60,29,0,0,2,0,-7,-4,5,4,0,0,0,-1
11,66,32,6,0,2,0,-1,-1,11,7,6,3,1,0
12,66,32,6,0,2,0,-1,-1,11,7,6,3,1,0
13,69,34,9,1,3,0,2,1,2,2,2,1,1,2
14,66,32,6,0,3,0,-1,-1,11,7,-3,-2,-1,1
15,66,32,6,0,3,0,-1,-1,11,7,-3,-2,-1,1
16,62,30,2,0,3,0,-5,-3,7,5,-4,-2,-1,0
17,60,29,0,0,3,0,-7,-4,5,4,-2,-1,-1,-1
18,60,29,0,0,3,0,-7,-4,5,4,-2,-1,-1,-1
19,59,28,11,1,4,0,-8,-5,4,3,-1,-1,-1,-2
20,59,28,11,0,4,0,-8,-5,4,3,0,0,0,-2
21,59,28,11,0,4,0,-8,-5,4,3,0,0,0,-2
22,59,28,11,0,4,0,-8,-5,4,3,0,0,0,-2
23,62,30,2,0,4,0,-5,-3,7,5,3,2,1,-1
24,62,30,2,0,4,0,-5,-3,7,5,3,2,1,-1
25,71,35,11,1,5,0,4,2,4,3,9,5,1,0
26,71,35,11,0,5,0,4,2,4,3,0,0,0,0
27,71,35,11,0,5,0,4,2,4,3,0,0,0,0
28,69,34,9,0,5,0,2,1,2,2,-2,-1,-1,-1
29,71,35,11,0,5,0,4,2,4,3,2,1,1,0
30,71,35,11,0,5,0,4,2,4,3,2,1,1,0
31,72,36,0,1,6,0,5,3,5,4,1,1,1,1
32,72,36,0,0,6,0,5,3,5,4,0,0,0,1
33,72,36,0,0,6,0,5,3,5,4,0,0,0,1
34,72,36,0,0,6,0,5,3,5,4,0,0,0,1
35,64,31,4,0,6,0,-3,-2,9,6,-8,-5,-1,0
36,64,31,4,0,6,0,-3,-2,9,6,-8,-5,-1,0
37,62,30,2,1,7,0,-5,-3,7,5,-2,-1,-1,-1
38,66,32,6,0,7,0,-1,-1,11,7,4,2,1,0
39,66,32,6,0,7,0,-1,-1,11,7,4,2,1,0
40,69,34,9,0,7,0,2,1,2,2,3,2,1,1
41,72,36,0,0,7,0,5,3,5,4,3,2,1,2
42,72,36,0,0,7,0,5,3,5,4,3,2,1,2
43,71,35,11,1,8,0,4,2,4,3,-1,-1,-1,1
44,71,35,11,0,8,0,4,2,4,3,0,0,0,1
45,71,35,11,0,8,0,4,2,4,3,0,0,0,1
46,71,35,11,0,8,0,4,2,4,3,0,0,0,1
47,62,30,2,0,8,0,-5,-3,7,5,-9,-5,-1,0
48,62,30,2,0,8,0,-5,-3,7,5,-9,-5,-1,0
49,67,33,7,1,9,0,0,0,0,1,5,3,1,1
50,67,33,7,0,9,0,0,0,0,1,0,0,0,1
51,67,33,7,0,9,0,0,0,0,1,0,0,0,1
52,67,33,7,0,9,0,0,0,0,1,0,0,0,1
53,66,32,6,0,9,0,-1,-1,11,7,-1,-1,-1,0
54,64,31,4,0,9,0,-3,-2,9,6,-2,-1,-1,-1
55,62,30,2,1,10,0,-5,-3,7,5,-2,-1,-1,-2
56,66,32,6,0,10,0,-1,-1,11,7,4,2,1,-1
57,66,32,6,0,10,0,-1,-1,11,7,0,0,0,-1
58,66,32,6,0,10,0,-1,-1,11,7,0,0,0,-1
59,66,32,6,0,10,0,-1,-1,11,7,0,0,0,-1
60,66,32,6,0,10,0,-1,-1,11,7,0,0,0,-1
61,64,31,4,1,11,0,-3,-2,9,6,-2,-1,-1,-2
62,64,31,4,0,11,0,-3,-2,9,6,0,0,0,-2
63,66,32,6,0,11,0,-1,-1,11,7,2,1,1,-1
64,67,33,7,0,11,0,0,0,0,1,1,1,1,0
65,66,32,6,0,11,0,-1,-1,11,7,-1,-1,-1,-1
66,64,31,4,0,11,0,-3,-2,9,6,-2,-1,-1,-2
67,64,31,4,1,12,0,-3,-2,9,6,0,0,0,-2
68,62,30,2,0,12,0,-5,-3,7,5,-2,-1,-1,-3
69,62,30,2,0,12,0,-5,-3,7,5,-2,-1,-1,-3
70,62,30,2,0,12,0,-5,-3,7,5,0,0,0,-3
71,62,30,2,0,12,0,-5,-3,7,5,0,0,0,-3
72,62,30,2,0,12,0,-5,-3,7,5,0,0,0,-3
73,67,33,7,1,13,0,0,0,0,1,5,3,1,-2
74,62,30,2,0,13,0,-5,-3,7,5,-5,-3,-1,-3
75,62,30,2,0,13,0,-5,-3,7,5,-5,-3,-1,-3
76,64,31,4,0,13,0,-3,-2,9,6,2,1,1,-2
77,62,30,2,0,13,0,-5,-3,7,5,-2,-1,-1,-3
78,62,30,2,0,13,0,-5,-3,7,5,-2,-1,-1,-3
79,60,29,0,1,14,0,-7,-4,5,4,-2,-1,-1,-4
80,60,29,0,0,14,0,-7,-4,5,4,0,0,0,-4
81,60,29,0,0,14,0,-7,-4,5,4,0,0,0,-4
82,60,29,0,0,14,0,-7,-4,5,4,0,0,0,-4
83,66,32,6,0,14,0,-1,-1,11,7,6,3,1,-3
84,66,32,6,0,14,0,-1,-1,11,7,6,3,1,-3
85,69,34,9,1,15,0,2,1,2,2,3,2,1,-2
86,66,32,6,0,15,0,-1,-1,11,7,-3,-2,-1,-3
87,66,32,6,0,15,0,-1,-1,11,7,-3,-2,-1,-3
88,62,30,2,0,15,0,-5,-3,7,5,-4,-2,-1,-4
