eighth_note,midi_note_num,diatonic_note_num,chromatic_pitch_class,beat_strength,bar_num,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,62,30,2,0,0,0,-5,-3,7,5,0,0,0,0
1,61,29,1,0,0,0,-6,-4,6,4,-1,-1,-1,-1
2,62,30,2,0,0,0,-5,-3,7,5,1,1,1,0
3,67,33,7,1,1,0,0,0,0,1,5,3,1,1
4,66,32,6,0,1,0,-1,-1,11,7,-1,-1,-1,0
5,64,31,4,0,1,0,-3,-2,9,6,-2,-1,-1,-1
6,64,31,4,0,1,0,-3,-2,9,6,0,0,0,-1
7,62,30,2,0,1,0,-5,-3,7,5,-2,-1,-1,-2
8,62,30,2,0,1,0,-5,-3,7,5,0,0,0,-2
9,64,31,4,1,2,0,-3,-2,9,6,2,1,1,-1
10,62,30,2,0,2,0,-5,-3,7,5,-2,-1,-1,-2
11,62,30,2,0,2,0,-5,-3,7,5,0,0,0,-2
12,67,33,7,0,2,0,0,0,0,1,5,3,1,-1
13,66,32,6,0,2,0,-1,-1,11,7,-1,-1,-1,-2
14,64,31,4,0,2,0,-3,-2,9,6,-2,-1,-1,-3
15,62,30,2,1,3,0,-5,-3,7,5,-2,-1,-1,-4
16,64,31,4,0,3,0,-3,-2,9,6,2,1,1,-3
17,64,31,4,0,3,0,-3,-2,9,6,2,1,1,-3
18,62,30,2,0,3,0,-5,-3,7,5,-2,-1,-1,-4
19,60,29,0,0,3,0,-7,-4,5,4,-2,-1,-1,-5
20,60,29,0,0,3,0,-7,-4,5,4,-2,-1,-1,-5
21,59,28,11,1,4,0,-8,-5,4,3,-1,-1,-1,-6
22,62,30,2,0,4,0,-5,-3,7,5,3,2,1,-5
23,62,30,2,0,4,0,-5,-3,7,5,3,2,1,-5
24,62,30,2,0,4,0,-5,-3,7,5,3,2,1,-5
25,61,29,1,0,4,0,-6,-4,6,4,-1,-1,-1,-6
26,62,30,2,0,4,0,-5,-3,7,5,1,1,1,-5
27,67,33,7,1,5,0,0,0,0,1,5,3,1,-4
28,66,32,6,0,5,0,-1,-1,11,7,-1,-1,-1,-5
29,67,33,7,0,5,0,0,0,0,1,1,1,1,-4
30,69,34,9,0,5,0,2,1,2,2,2,1,1,-3
31,69,34,9,0,5,0,2,1,2,2,0,0,0,-3
32,69,34,9,0,5,0,2,1,2,2,0,0,0,-3
33,71,35,11,1,6,0,4,2,4,3,2,1,1,-2
34,72,36,0,0,6,0,5,3,5,4,1,1,1,-1
35,72,36,0,0,6,0,5,3,5,4,1,1,1,-1
36,72,36,0,0,6,0,5,3,5,4,1,1,1,-1
37,71,35,11,0,6,0,4,2,4,3,-1,-1,-1,-2
38,69,34,9,0,6,0,2,1,2,2,-2,-1,-1,-3
39,71,35,11,1,7,0,4,2,4,3,2,1,1,-2
40,71,35,11,0,7,0,4,2,4,3,0,0,0,-2
41,71,35,11,0,7,0,4,2,4,3,0,0,0,-2
42,69,34,9,0,7,0,2,1,2,2,-2,-1,-1,-3
43,69,34,9,0,7,0,2,1,2,2,0,0,0,-3
44,69,34,9,0,7,0,2,1,2,2,0,0,0,-3
