,[1 2 3 2 6],[2 6 6 6 7],[6 7 1 7 1],[7 1 7 1 1],[7 7 5 6 7],[7 7 7 5 6],patterns
5588,4,5,3,1,5,4,[1 1 7 1 1]
7386,1,4,5,4,4,4,[1 2 2 6]
7483,1,5,5,4,5,5,[1 2 3 2]
7484,1,5,4,4,5,5,[1 2 3 2 1]
7519,1,5,5,5,5,5,[1 2 3 2 2]
7622,1,5,5,5,5,5,[1 2 3 2 4]
7630,1,5,5,5,5,5,[1 2 3 2 5]
7638,0,4,5,5,5,4,[1 2 3 2 6]
7639,1,4,6,6,5,5,[1 2 3 2 6 6]
7646,1,4,5,5,4,5,[1 2 3 2 7]
7895,1,4,5,5,5,4,[1 2 3 3 6]
8096,1,4,5,4,4,4,[1 2 3 6]
8119,1,3,5,5,4,4,[1 2 3 6 6]
8185,1,5,6,6,6,5,[1 2 4 3 2 6]
8907,1,5,5,5,5,4,[1 3 3 2 6]
11930,4,5,2,1,4,4,[1 7 1 1]
12214,4,3,4,4,1,3,[1 7 5 6 7]
15430,4,1,5,4,3,5,[2 1 6 6 7]
15449,5,4,3,1,5,4,[2 1 7 1 1]
19331,1,4,5,5,5,4,[2 2 3 2 6]
21150,4,1,5,5,3,5,[2 2 6 6 7]
21806,1,3,5,5,4,4,[2 3 2 6]
25170,4,1,5,5,3,5,[2 5 6 6 7]
25366,3,1,5,5,4,4,[2 6 6 6]
25367,4,1,5,5,4,5,[2 6 6 6 5]
25383,4,1,5,5,4,4,[2 6 6 6 6]
25416,5,1,5,6,4,5,[2 6 6 6 6 7]
25423,4,0,4,5,3,5,[2 6 6 6 7]
25424,5,1,4,6,4,6,[2 6 6 6 7 7]
25431,4,1,4,5,3,5,[2 6 6 7]
25516,4,1,4,5,2,4,[2 7 6 6 7]
25630,4,4,4,4,2,1,[2 7 7 5 6]
30005,4,1,5,6,4,5,[3 2 6 6 6 7]
49591,1,5,6,5,6,5,[5 1 2 3 2 6]
67961,4,4,1,3,5,5,[6 2 1 7 1]
75652,5,1,4,5,3,5,[6 6 6 6 7]
75751,5,1,3,5,3,5,[6 6 6 7]
76037,6,4,1,3,5,5,[6 6 7 1 7 1]
76324,5,4,1,2,4,4,[6 7 1 1]
76325,5,5,1,2,4,4,[6 7 1 1 1]
76590,5,3,1,3,3,4,[6 7 1 7]
76591,5,4,0,2,4,4,[6 7 1 7 1]
76592,6,5,1,1,5,4,[6 7 1 7 1 1]
76599,5,4,1,3,4,3,[6 7 1 7 5]
76605,4,4,1,3,4,3,[6 7 1 7 6]
76648,5,4,1,3,3,4,[6 7 1 7 7]
76718,5,3,3,5,1,3,[6 7 5 6 7]
76855,5,4,1,3,4,3,[6 7 7 1]
77060,4,5,3,4,2,1,[6 7 7 5 6]
77110,5,4,1,3,4,3,[6 7 7 7 1]
77198,5,5,2,1,4,4,[7 1 1 1]
77199,5,5,3,1,4,4,[7 1 1 1 1]
77480,4,5,3,1,4,4,[7 1 2 1 1]
77773,5,5,3,1,3,4,[7 1 5 1 1]
77992,5,5,1,1,4,3,[7 1 7 1]
77993,5,5,2,0,4,3,[7 1 7 1 1]
77994,5,6,3,1,4,4,[7 1 7 1 1 5]
78767,5,3,4,4,1,3,[7 5 6 7]
79461,5,2,4,4,1,3,[7 6 5 6 7]
80240,5,1,4,4,2,4,[7 6 6 6 7]
80355,4,4,4,3,2,1,[7 6 7 5 6]
80356,5,3,4,4,1,2,[7 6 7 5 6 7]
80441,5,5,2,1,3,3,[7 7 1 1]
81111,4,5,4,4,2,1,[7 7 5 5 6]
81131,4,4,4,3,1,1,[7 7 5 6]
81132,4,4,4,4,1,2,[7 7 5 6 6]
81140,5,3,5,5,1,3,[7 7 5 6 6 7]
81153,5,3,4,4,0,2,[7 7 5 6 7]
81154,6,4,3,4,1,3,[7 7 5 6 7 1]
81157,5,4,3,3,1,2,[7 7 5 7]
81158,5,4,3,4,1,3,[7 7 5 7 7]
81331,4,4,4,4,2,1,[7 7 6 5 6]
81346,5,3,5,5,1,2,[7 7 6 5 6 7]
81743,5,2,4,4,1,3,[7 7 6 6 7]
81768,5,3,3,3,1,3,[7 7 6 7]
81796,5,5,3,1,3,2,[7 7 7 1 1]
81853,4,5,3,2,3,1,[7 7 7 1 6]
81917,5,5,3,3,3,1,[7 7 7 5]
81918,5,5,4,3,3,1,[7 7 7 5 5]
81958,5,6,5,4,3,1,[7 7 7 5 5 6]
81965,4,5,4,3,2,0,[7 7 7 5 6]
81966,5,4,5,4,1,1,[7 7 7 5 6 7]
81970,5,4,4,3,2,1,[7 7 7 5 7]
81978,4,4,3,3,2,1,[7 7 7 6]
82017,4,4,4,3,2,1,[7 7 7 6 6]
82186,5,3,4,3,1,2,[7 7 7 6 7]
82269,5,6,4,4,3,1,[7 7 7 7 5 6]
82274,4,5,3,3,3,1,[7 7 7 7 6]
