eighth_note,midi_note_num,diatonic_note_num,chromatic_pitch_class,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,62,30,2,66,55,25,7,5,0,0,0,0
1,67,33,7,69,60,28,0,1,5,3,1,1
2,66,32,6,62,59,27,11,7,-1,-1,-1,0
3,66,32,6,62,59,27,11,7,-1,-1,-1,0
4,64,31,4,59,57,26,9,6,-2,-1,-1,-1
5,69,34,9,72,62,29,2,2,5,3,1,0
6,71,35,11,63,64,30,4,3,2,1,1,1
7,71,35,11,63,64,30,4,3,2,1,1,1
8,69,34,9,60,62,29,2,2,-2,-1,-1,0
9,67,33,7,71,60,28,0,1,-2,-1,-1,-1
10,62,30,2,64,55,25,7,5,-5,-3,-1,-2
11,62,30,2,64,55,25,7,5,-5,-3,-1,-2
12,62,30,2,62,55,25,7,5,0,0,0,-2
13,62,30,2,62,55,25,7,5,0,0,0,-2
14,62,30,2,62,55,25,7,5,0,0,0,-2
15,62,30,2,62,55,25,7,5,0,0,0,-2
16,62,30,2,62,55,25,7,5,0,0,0,-2
17,67,33,7,63,60,28,0,1,5,3,1,-1
18,66,32,6,66,59,27,11,7,-1,-1,-1,-2
19,66,32,6,66,59,27,11,7,-1,-1,-1,-2
20,64,31,4,58,57,26,9,6,-2,-1,-1,-3
21,69,34,9,62,62,29,2,2,5,3,1,-2
22,71,35,11,59,64,30,4,3,2,1,1,-1
23,71,35,11,59,64,30,4,3,2,1,1,-1
24,69,34,9,58,62,29,2,2,-2,-1,-1,-2
25,67,33,7,64,60,28,0,1,-2,-1,-1,-3
26,62,30,2,66,55,25,7,5,-5,-3,-1,-4
27,62,30,2,66,55,25,7,5,-5,-3,-1,-4
28,71,35,11,58,64,30,4,3,9,5,1,-3
29,71,35,11,58,64,30,4,3,9,5,1,-3
30,71,35,11,58,64,30,4,3,9,5,1,-3
31,71,35,11,58,64,30,4,3,9,5,1,-3
32,71,35,11,58,64,30,4,3,9,5,1,-3
33,71,35,11,67,64,30,4,3,0,0,0,-3
34,71,35,11,57,64,30,4,3,0,0,0,-3
35,71,35,11,67,64,30,4,3,0,0,0,-3
36,71,35,11,64,64,30,4,3,0,0,0,-3
37,71,35,11,68,64,30,4,3,0,0,0,-3
38,67,33,7,58,60,28,0,1,-4,-2,-1,-4
39,71,35,11,64,64,30,4,3,4,2,1,-3
40,71,35,11,64,64,30,4,3,4,2,1,-3
41,71,35,11,63,64,30,4,3,0,0,0,-3
42,74,37,2,60,67,32,7,5,3,2,1,-2
43,72,36,0,61,65,31,5,4,-2,-1,-1,-3
44,71,35,11,58,64,30,4,3,-1,-1,-1,-4
45,69,34,9,63,62,29,2,2,-2,-1,-1,-5
46,69,34,9,58,62,29,2,2,0,0,0,-5
47,69,34,9,58,62,29,2,2,0,0,0,-5
48,69,34,9,58,62,29,2,2,0,0,0,-5
49,69,34,9,72,62,29,2,2,0,0,0,-5
50,69,34,9,58,62,29,2,2,0,0,0,-5
51,69,34,9,67,62,29,2,2,0,0,0,-5
52,69,34,9,59,62,29,2,2,0,0,0,-5
53,71,35,11,67,64,30,4,3,2,1,1,-4
54,69,34,9,60,62,29,2,2,-2,-1,-1,-5
55,67,33,7,66,60,28,0,1,-2,-1,-1,-6
56,71,35,11,66,64,30,4,3,4,2,1,-5
57,69,34,9,66,62,29,2,2,-2,-1,-1,-6
58,69,34,9,57,62,29,2,2,0,0,0,-6
59,64,31,4,69,57,26,9,6,-5,-3,-1,-7
60,66,32,6,65,59,27,11,7,2,1,1,-6
