eighth_note,midi_note_num,diatonic_note_num,chromatic_pitch_class,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,74,37,2,62,67,32,7,5,0,0,0,0
1,67,33,7,69,60,28,0,1,-7,-4,-1,-1
2,71,35,11,57,64,30,4,3,4,2,1,0
3,74,37,2,61,67,32,7,5,3,2,1,1
4,79,40,7,58,72,35,0,1,5,3,1,2
5,79,40,7,64,72,35,0,1,0,0,0,2
6,79,40,7,64,72,35,0,1,0,0,0,2
7,78,39,6,72,71,34,11,7,-1,-1,-1,1
8,76,38,4,57,69,33,9,6,-2,-1,-1,0
9,69,34,9,57,62,29,2,2,-7,-4,-1,-1
10,69,34,9,57,62,29,2,2,-7,-4,-1,-1
11,69,34,9,57,62,29,2,2,-7,-4,-1,-1
12,69,34,9,57,62,29,2,2,-7,-4,-1,-1
13,78,39,6,65,71,34,11,7,9,5,1,0
14,76,38,4,60,69,33,9,6,-2,-1,-1,-1
15,76,38,4,60,69,33,9,6,-2,-1,-1,-1
16,74,37,2,56,67,32,7,5,-2,-1,-1,-2
17,72,36,0,58,65,31,5,4,-2,-1,-1,-3
18,72,36,0,58,65,31,5,4,-2,-1,-1,-3
19,71,35,11,67,64,30,4,3,-1,-1,-1,-4
20,74,37,2,65,67,32,7,5,3,2,1,-3
21,74,37,2,65,67,32,7,5,3,2,1,-3
22,74,37,2,65,67,32,7,5,3,2,1,-3
23,74,37,2,65,67,32,7,5,3,2,1,-3
24,74,37,2,65,67,32,7,5,3,2,1,-3
25,67,33,7,64,60,28,0,1,-7,-4,-1,-4
26,71,35,11,62,64,30,4,3,4,2,1,-3
27,74,37,2,64,67,32,7,5,3,2,1,-2
28,79,40,7,65,72,35,0,1,5,3,1,-1
29,79,40,7,65,72,35,0,1,0,0,0,-1
30,79,40,7,65,72,35,0,1,0,0,0,-1
31,81,41,9,67,74,36,2,2,2,1,1,0
32,79,40,7,57,72,35,0,1,-2,-1,-1,-1
33,79,40,7,57,72,35,0,1,-2,-1,-1,-1
34,76,38,4,62,69,33,9,6,-3,-2,-1,-2
35,79,40,7,59,72,35,0,1,3,2,1,-1
36,79,40,7,59,72,35,0,1,3,2,1,-1
37,78,39,6,72,71,34,11,7,-1,-1,-1,-2
38,76,38,4,56,69,33,9,6,-2,-1,-1,-3
39,76,38,4,56,69,33,9,6,-2,-1,-1,-3
40,74,37,2,59,67,32,7,5,-2,-1,-1,-4
41,76,38,4,59,69,33,9,6,2,1,1,-3
42,78,39,6,57,71,34,11,7,2,1,1,-2
