eighth_note,midi_note_num,diatonic_note_num,chromatic_pitch_class,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,67,33,7,69,60,28,0,1,0,0,0,0
1,69,34,9,62,62,29,2,2,2,1,1,1
2,69,34,9,62,62,29,2,2,2,1,1,1
3,71,35,11,64,64,30,4,3,2,1,1,2
4,72,36,0,64,65,31,5,4,1,1,1,3
5,69,34,9,56,62,29,2,2,-3,-2,-1,2
6,69,34,9,56,62,29,2,2,-3,-2,-1,2
7,69,34,9,56,62,29,2,2,-3,-2,-1,2
8,71,35,11,63,64,30,4,3,2,1,1,3
9,74,37,2,68,67,32,7,5,3,2,1,4
10,74,37,2,68,67,32,7,5,3,2,1,4
11,71,35,11,72,64,30,4,3,-3,-2,-1,3
12,71,35,11,72,64,30,4,3,-3,-2,-1,3
13,69,34,9,63,62,29,2,2,-2,-1,-1,2
14,69,34,9,63,62,29,2,2,-2,-1,-1,2
15,74,37,2,64,67,32,7,5,5,3,1,3
16,74,37,2,64,67,32,7,5,5,3,1,3
17,76,38,4,68,69,33,9,6,2,1,1,4
18,76,38,4,68,69,33,9,6,2,1,1,4
19,74,37,2,63,67,32,7,5,-2,-1,-1,3
20,72,36,0,65,65,31,5,4,-2,-1,-1,2
21,72,36,0,68,65,31,5,4,0,0,0,2
22,72,36,0,68,65,31,5,4,0,0,0,2
23,71,35,11,65,64,30,4,3,-1,-1,-1,1
24,71,35,11,65,64,30,4,3,-1,-1,-1,1
25,74,37,2,57,67,32,7,5,3,2,1,2
26,76,38,4,65,69,33,9,6,2,1,1,3
27,76,38,4,61,69,33,9,6,0,0,0,3
28,74,37,2,64,67,32,7,5,-2,-1,-1,2
29,74,37,2,66,67,32,7,5,0,0,0,2
30,74,37,2,66,67,32,7,5,0,0,0,2
31,74,37,2,66,67,32,7,5,0,0,0,2
32,74,37,2,66,67,32,7,5,0,0,0,2
33,74,37,2,60,67,32,7,5,0,0,0,2
34,76,38,4,59,69,33,9,6,2,1,1,3
35,78,39,6,56,71,34,11,7,2,1,1,4
36,79,40,7,64,72,35,0,1,1,1,1,5
37,79,40,7,63,72,35,0,1,0,0,0,5
38,79,40,7,63,72,35,0,1,0,0,0,5
39,78,39,6,70,71,34,11,7,-1,-1,-1,4
40,78,39,6,70,71,34,11,7,-1,-1,-1,4
41,76,38,4,61,69,33,9,6,-2,-1,-1,3
42,79,40,7,66,72,35,0,1,3,2,1,4
43,78,39,6,62,71,34,11,7,-1,-1,-1,3
44,76,38,4,69,69,33,9,6,-2,-1,-1,2
45,74,37,2,61,67,32,7,5,-2,-1,-1,1
46,74,37,2,61,67,32,7,5,-2,-1,-1,1
47,74,37,2,64,67,32,7,5,0,0,0,1
48,74,37,2,64,67,32,7,5,0,0,0,1
49,74,37,2,59,67,32,7,5,0,0,0,1
50,74,37,2,59,67,32,7,5,0,0,0,1
51,72,36,0,62,65,31,5,4,-2,-1,-1,0
52,71,35,11,67,64,30,4,3,-1,-1,-1,-1
53,71,35,11,59,64,30,4,3,0,0,0,-1
54,71,35,11,59,64,30,4,3,0,0,0,-1
55,71,35,11,65,64,30,4,3,0,0,0,-1
56,72,36,0,69,65,31,5,4,1,1,1,0
57,74,37,2,61,67,32,7,5,2,1,1,1
58,76,38,4,67,69,33,9,6,2,1,1,2
59,76,38,4,64,69,33,9,6,0,0,0,2
60,74,37,2,69,67,32,7,5,-2,-1,-1,1
61,74,37,2,71,67,32,7,5,0,0,0,1
62,74,37,2,71,67,32,7,5,0,0,0,1
63,74,37,2,71,67,32,7,5,0,0,0,1
64,74,37,2,71,67,32,7,5,0,0,0,1
65,74,37,2,62,67,32,7,5,0,0,0,1
66,74,37,2,62,67,32,7,5,0,0,0,1
67,72,36,0,66,65,31,5,4,-2,-1,-1,0
68,71,35,11,72,64,30,4,3,-1,-1,-1,-1
69,71,35,11,68,64,30,4,3,0,0,0,-1
70,71,35,11,68,64,30,4,3,0,0,0,-1
71,71,35,11,58,64,30,4,3,0,0,0,-1
72,69,34,9,65,62,29,2,2,-2,-1,-1,-2
73,72,36,0,61,65,31,5,4,3,2,1,-1
74,71,35,11,63,64,30,4,3,-1,-1,-1,-2
75,69,34,9,56,62,29,2,2,-2,-1,-1,-3
