eighth_note,midi_note_num,diatonic_note_num,chromatic_pitch_class,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,62,30,2,58,55,25,7,5,0,0,0,0
1,67,33,7,71,60,28,0,1,5,3,1,1
2,67,33,7,71,60,28,0,1,5,3,1,1
3,66,32,6,59,59,27,11,7,-1,-1,-1,0
4,66,32,6,59,59,27,11,7,-1,-1,-1,0
5,66,32,6,59,59,27,11,7,-1,-1,-1,0
6,67,33,7,65,60,28,0,1,1,1,1,1
7,66,32,6,56,59,27,11,7,-1,-1,-1,0
8,64,31,4,72,57,26,9,6,-2,-1,-1,-1
9,62,30,2,57,55,25,7,5,-2,-1,-1,-2
10,62,30,2,57,55,25,7,5,-2,-1,-1,-2
11,71,35,11,66,64,30,4,3,9,5,1,-1
12,71,35,11,66,64,30,4,3,9,5,1,-1
13,69,34,9,65,62,29,2,2,-2,-1,-1,-2
14,69,34,9,65,62,29,2,2,-2,-1,-1,-2
15,67,33,7,66,60,28,0,1,-2,-1,-1,-3
16,67,33,7,66,60,28,0,1,-2,-1,-1,-3
17,67,33,7,66,60,28,0,1,-2,-1,-1,-3
18,66,32,6,63,59,27,11,7,-1,-1,-1,-4
19,64,31,4,56,57,26,9,6,-2,-1,-1,-5
20,62,30,2,68,55,25,7,5,-2,-1,-1,-6
21,62,30,2,59,55,25,7,5,0,0,0,-6
22,62,30,2,59,55,25,7,5,0,0,0,-6
23,62,30,2,59,55,25,7,5,0,0,0,-6
24,62,30,2,59,55,25,7,5,0,0,0,-6
25,62,30,2,61,55,25,7,5,0,0,0,-6
26,67,33,7,71,60,28,0,1,5,3,1,-5
27,71,35,11,63,64,30,4,3,4,2,1,-4
28,71,35,11,63,64,30,4,3,4,2,1,-4
29,71,35,11,66,64,30,4,3,0,0,0,-4
30,71,35,11,63,64,30,4,3,0,0,0,-4
31,71,35,11,66,64,30,4,3,0,0,0,-4
32,69,34,9,63,62,29,2,2,-2,-1,-1,-5
33,67,33,7,66,60,28,0,1,-2,-1,-1,-6
34,67,33,7,66,60,28,0,1,-2,-1,-1,-6
35,69,34,9,56,62,29,2,2,2,1,1,-5
36,69,34,9,56,62,29,2,2,2,1,1,-5
37,69,34,9,62,62,29,2,2,0,0,0,-5
38,71,35,11,69,64,30,4,3,2,1,1,-4
39,74,37,2,59,67,32,7,5,3,2,1,-3
40,74,37,2,59,67,32,7,5,3,2,1,-3
41,67,33,7,56,60,28,0,1,-7,-4,-1,-4
42,67,33,7,56,60,28,0,1,-7,-4,-1,-4
43,69,34,9,67,62,29,2,2,2,1,1,-3
44,69,34,9,67,62,29,2,2,2,1,1,-3
45,72,36,0,63,65,31,5,4,3,2,1,-2
46,72,36,0,63,65,31,5,4,3,2,1,-2
47,69,34,9,61,62,29,2,2,-3,-2,-1,-3
48,69,34,9,61,62,29,2,2,-3,-2,-1,-3
49,67,33,7,72,60,28,0,1,-2,-1,-1,-4
