eighth_note,midi_note_num,diatonic_note_num,chromatic_pitch_class,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,62,30,2,61,55,25,7,5,0,0,0,0
1,71,35,11,62,64,30,4,3,9,5,1,1
2,71,35,11,61,64,30,4,3,0,0,0,1
3,71,35,11,62,64,30,4,3,0,0,0,1
4,71,35,11,59,64,30,4,3,0,0,0,1
5,69,34,9,65,62,29,2,2,-2,-1,-1,0
6,67,33,7,61,60,28,0,1,-2,-1,-1,-1
7,69,34,9,62,62,29,2,2,2,1,1,0
8,74,37,2,62,67,32,7,5,5,3,1,1
9,74,37,2,62,67,32,7,5,5,3,1,1
10,74,37,2,62,67,32,7,5,5,3,1,1
11,71,35,11,58,64,30,4,3,-3,-2,-1,0
12,69,34,9,64,62,29,2,2,-2,-1,-1,-1
13,67,33,7,67,60,28,0,1,-2,-1,-1,-2
14,71,35,11,56,64,30,4,3,4,2,1,-1
15,71,35,11,56,64,30,4,3,4,2,1,-1
16,71,35,11,56,64,30,4,3,4,2,1,-1
17,71,35,11,56,64,30,4,3,4,2,1,-1
18,71,35,11,56,64,30,4,3,4,2,1,-1
19,74,37,2,70,67,32,7,5,3,2,1,0
20,74,37,2,60,67,32,7,5,0,0,0,0
21,74,37,2,60,67,32,7,5,0,0,0,0
22,74,37,2,59,67,32,7,5,0,0,0,0
23,76,38,4,57,69,33,9,6,2,1,1,1
24,78,39,6,65,71,34,11,7,2,1,1,2
25,76,38,4,72,69,33,9,6,-2,-1,-1,1
26,76,38,4,61,69,33,9,6,0,0,0,1
27,74,37,2,59,67,32,7,5,-2,-1,-1,0
28,76,38,4,65,69,33,9,6,2,1,1,1
29,74,37,2,60,67,32,7,5,-2,-1,-1,0
30,74,37,2,60,67,32,7,5,-2,-1,-1,0
31,69,34,9,67,62,29,2,2,-5,-3,-1,-1
32,67,33,7,62,60,28,0,1,-2,-1,-1,-2
33,67,33,7,62,60,28,0,1,-2,-1,-1,-2
34,69,34,9,58,62,29,2,2,2,1,1,-1
35,71,35,11,65,64,30,4,3,2,1,1,0
36,72,36,0,62,65,31,5,4,1,1,1,1
37,74,37,2,67,67,32,7,5,2,1,1,2
38,74,37,2,63,67,32,7,5,0,0,0,2
39,76,38,4,58,69,33,9,6,2,1,1,3
40,74,37,2,59,67,32,7,5,-2,-1,-1,2
41,66,32,6,63,59,27,11,7,-8,-5,-1,1
42,66,32,6,65,59,27,11,7,0,0,0,1
