eighth_note,midi_note_num,diatonic_note_num,chromatic_pitch_class,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,67,33,7,62,60,28,0,1,0,0,0,0
1,71,35,11,69,64,30,4,3,4,2,1,1
2,69,34,9,57,62,29,2,2,-2,-1,-1,0
3,71,35,11,61,64,30,4,3,2,1,1,1
4,67,33,7,58,60,28,0,1,-4,-2,-1,0
5,74,37,2,64,67,32,7,5,7,4,1,1
6,74,37,2,64,67,32,7,5,7,4,1,1
7,76,38,4,63,69,33,9,6,2,1,1,2
8,74,37,2,58,67,32,7,5,-2,-1,-1,1
9,73,36,1,57,66,31,6,4,-1,-1,-1,0
10,74,37,2,65,67,32,7,5,1,1,1,1
11,76,38,4,62,69,33,9,6,2,1,1,2
12,76,38,4,62,69,33,9,6,2,1,1,2
13,76,38,4,62,69,33,9,6,2,1,1,2
14,76,38,4,58,69,33,9,6,0,0,0,2
15,74,37,2,59,67,32,7,5,-2,-1,-1,1
16,74,37,2,63,67,32,7,5,-2,-1,-1,1
17,71,35,11,64,64,30,4,3,-1,-1,-1,-1
18,74,37,2,58,67,32,7,5,3,2,1,0
19,67,33,7,65,60,28,0,1,-7,-4,-1,-1
20,67,33,7,65,60,28,0,1,0,0,0,-1
21,67,33,7,63,60,28,0,1,0,0,0,-1
22,76,38,4,62,69,33,9,6,9,5,1,0
23,74,37,2,66,67,32,7,5,-2,-1,-1,-1
24,69,34,9,59,62,29,2,2,-5,-3,-1,-2
25,72,36,0,60,65,31,5,4,3,2,1,-1
26,71,35,11,66,64,30,4,3,-1,-1,-1,-2
