eighth_note,midi_note_num,diatonic_note_num,chromatic_pitch_class,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,74,37,2,72,67,32,7,5,0,0,0,0
1,74,37,2,68,67,32,7,5,0,0,0,0
2,78,39,6,60,71,34,11,7,4,2,1,1
3,76,38,4,62,69,33,9,6,-2,-1,-1,0
4,74,37,2,61,67,32,7,5,-2,-1,-1,-1
5,74,37,2,61,67,32,7,5,-2,-1,-1,-1
6,76,38,4,64,69,33,9,6,2,1,1,0
7,76,38,4,64,69,33,9,6,2,1,1,0
8,74,37,2,65,67,32,7,5,-2,-1,-1,-1
9,69,34,9,62,62,29,2,2,-5,-3,-1,-2
10,71,35,11,71,64,30,4,3,2,1,1,-1
11,72,36,0,65,65,31,5,4,1,1,1,0
12,71,35,11,62,64,30,4,3,-1,-1,-1,-1
13,69,34,9,65,62,29,2,2,-2,-1,-1,-2
14,67,33,7,66,60,28,0,1,-2,-1,-1,-3
15,72,36,0,60,65,31,5,4,5,3,1,-2
16,71,35,11,68,64,30,4,3,-1,-1,-1,-3
17,69,34,9,65,62,29,2,2,-2,-1,-1,-4
18,74,37,2,63,67,32,7,5,5,3,1,-3
19,74,37,2,65,67,32,7,5,0,0,0,-3
20,78,39,6,59,71,34,11,7,4,2,1,-2
21,76,38,4,66,69,33,9,6,-2,-1,-1,-3
22,74,37,2,56,67,32,7,5,-2,-1,-1,-4
23,74,37,2,56,67,32,7,5,-2,-1,-1,-4
24,76,38,4,59,69,33,9,6,2,1,1,-3
25,76,38,4,59,69,33,9,6,2,1,1,-3
26,74,37,2,64,67,32,7,5,-2,-1,-1,-4
27,67,33,7,64,60,28,0,1,-7,-4,-1,-5
28,71,35,11,61,64,30,4,3,4,2,1,-4
29,72,36,0,59,65,31,5,4,1,1,1,-3
30,71,35,11,63,64,30,4,3,-1,-1,-1,-4
31,69,34,9,63,62,29,2,2,-2,-1,-1,-5
32,67,33,7,69,60,28,0,1,-2,-1,-1,-6
33,72,36,0,58,65,31,5,4,5,3,1,-5
34,71,35,11,71,64,30,4,3,-1,-1,-1,-6
35,69,34,9,62,62,29,2,2,-2,-1,-1,-7
36,74,37,2,63,67,32,7,5,5,3,1,-6
37,74,37,2,63,67,32,7,5,5,3,1,-6
38,76,38,4,66,69,33,9,6,2,1,1,-5
39,74,37,2,58,67,32,7,5,-2,-1,-1,-6
40,74,37,2,62,67,32,7,5,0,0,0,-6
41,76,38,4,64,69,33,9,6,2,1,1,-5
42,74,37,2,71,67,32,7,5,-2,-1,-1,-6
43,67,33,7,61,60,28,0,1,-7,-4,-1,-7
44,71,35,11,66,64,30,4,3,4,2,1,-6
45,74,37,2,57,67,32,7,5,3,2,1,-5
46,76,38,4,71,69,33,9,6,2,1,1,-4
47,74,37,2,56,67,32,7,5,-2,-1,-1,-5
48,74,37,2,60,67,32,7,5,0,0,0,-5
49,76,38,4,61,69,33,9,6,2,1,1,-4
50,74,37,2,68,67,32,7,5,-2,-1,-1,-5
51,67,33,7,65,60,28,0,1,-7,-4,-1,-6
52,71,35,11,61,64,30,4,3,4,2,1,-5
53,71,35,11,64,64,30,4,3,0,0,0,-5
54,71,35,11,70,64,30,4,3,0,0,0,-5
55,69,34,9,61,62,29,2,2,-2,-1,-1,-6
56,74,37,2,59,67,32,7,5,5,3,1,-5
57,74,37,2,59,67,32,7,5,5,3,1,-5
58,79,40,7,70,72,35,0,1,5,3,1,-4
59,78,39,6,63,71,34,11,7,-1,-1,-1,-5
60,79,40,7,65,72,35,0,1,1,1,1,-4
61,74,37,2,60,67,32,7,5,-5,-3,-1,-5
62,79,40,7,66,72,35,0,1,5,3,1,-4
63,79,40,7,66,72,35,0,1,5,3,1,-4
64,79,40,7,66,72,35,0,1,5,3,1,-4
65,78,39,6,65,71,34,11,7,-1,-1,-1,-5
66,76,38,4,72,69,33,9,6,-2,-1,-1,-6
67,74,37,2,56,67,32,7,5,-2,-1,-1,-7
68,69,34,9,57,62,29,2,2,-5,-3,-1,-8
69,69,34,9,57,62,29,2,2,-5,-3,-1,-8
70,69,34,9,58,62,29,2,2,0,0,0,-8
71,71,35,11,61,64,30,4,3,2,1,1,-7
72,73,36,1,61,66,31,6,4,2,1,1,-6
