eighth_note,midi_note_num,diatonic_note_num,chromatic_pitch_class,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,62,30,2,65,55,25,7,5,0,0,0,0
1,64,31,4,67,57,26,9,6,2,1,1,1
2,64,31,4,57,57,26,9,6,0,0,0,1
3,64,31,4,57,57,26,9,6,0,0,0,1
4,67,33,7,62,60,28,0,1,3,2,1,2
5,66,32,6,65,59,27,11,7,-1,-1,-1,1
6,64,31,4,63,57,26,9,6,-2,-1,-1,0
7,67,33,7,64,60,28,0,1,3,2,1,1
8,66,32,6,64,59,27,11,7,-1,-1,-1,0
9,64,31,4,66,57,26,9,6,-2,-1,-1,-1
10,64,31,4,59,57,26,9,6,0,0,0,-1
11,62,30,2,61,55,25,7,5,-2,-1,-1,-2
12,62,30,2,56,55,25,7,5,0,0,0,-2
13,67,33,7,69,60,28,0,1,5,3,1,-1
14,69,34,9,62,62,29,2,2,2,1,1,0
15,67,33,7,59,60,28,0,1,-2,-1,-1,-1
16,62,30,2,64,55,25,7,5,-5,-3,-1,-2
17,64,31,4,66,57,26,9,6,2,1,1,-1
18,64,31,4,66,57,26,9,6,2,1,1,-1
19,62,30,2,70,55,25,7,5,-2,-1,-1,-2
20,60,29,0,59,53,24,5,4,-2,-1,-1,-3
21,60,29,0,59,53,24,5,4,-2,-1,-1,-3
22,59,28,11,63,52,23,4,3,-1,-1,-1,-4
23,62,30,2,58,55,25,7,5,3,2,1,-3
24,62,30,2,58,55,25,7,5,3,2,1,-3
25,64,31,4,65,57,26,9,6,2,1,1,-2
26,66,32,6,57,59,27,11,7,2,1,1,-1
27,66,32,6,57,59,27,11,7,2,1,1,-1
28,67,33,7,66,60,28,0,1,1,1,1,0
29,69,34,9,63,62,29,2,2,2,1,1,1
30,71,35,11,62,64,30,4,3,2,1,1,2
31,69,34,9,71,62,29,2,2,-2,-1,-1,1
32,69,34,9,60,62,29,2,2,0,0,0,1
33,69,34,9,60,62,29,2,2,0,0,0,1
34,71,35,11,63,64,30,4,3,2,1,1,2
35,72,36,0,72,65,31,5,4,1,1,1,3
36,72,36,0,72,65,31,5,4,1,1,1,3
37,72,36,0,72,65,31,5,4,1,1,1,3
38,71,35,11,65,64,30,4,3,-1,-1,-1,2
39,69,34,9,56,62,29,2,2,-2,-1,-1,1
40,67,33,7,63,60,28,0,1,-2,-1,-1,0
41,71,35,11,60,64,30,4,3,4,2,1,1
42,71,35,11,60,64,30,4,3,4,2,1,1
43,69,34,9,62,62,29,2,2,-2,-1,-1,0
44,67,33,7,57,60,28,0,1,-2,-1,-1,-1
45,66,32,6,64,59,27,11,7,-1,-1,-1,-2
