eighth_note,midi_note_num,diatonic_note_num,chromatic_pitch_class,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,62,30,2,58,55,25,7,5,0,0,0,0
1,67,33,7,65,60,28,0,1,5,3,1,1
2,67,33,7,67,60,28,0,1,0,0,0,1
3,67,33,7,67,60,28,0,1,0,0,0,1
4,67,33,7,58,60,28,0,1,0,0,0,1
5,69,34,9,62,62,29,2,2,2,1,1,2
6,71,35,11,62,64,30,4,3,2,1,1,3
7,71,35,11,62,64,30,4,3,2,1,1,3
8,67,33,7,71,60,28,0,1,-4,-2,-1,2
9,67,33,7,71,60,28,0,1,-4,-2,-1,2
10,62,30,2,69,55,25,7,5,-5,-3,-1,1
11,62,30,2,69,55,25,7,5,-5,-3,-1,1
12,62,30,2,60,55,25,7,5,0,0,0,1
13,62,30,2,60,55,25,7,5,0,0,0,1
14,62,30,2,60,55,25,7,5,0,0,0,1
15,62,30,2,66,55,25,7,5,0,0,0,1
16,62,30,2,58,55,25,7,5,0,0,0,1
17,67,33,7,69,60,28,0,1,5,3,1,2
18,67,33,7,62,60,28,0,1,0,0,0,2
19,67,33,7,62,60,28,0,1,0,0,0,2
20,69,34,9,71,62,29,2,2,2,1,1,3
21,69,34,9,71,62,29,2,2,2,1,1,3
22,71,35,11,61,64,30,4,3,2,1,1,4
23,71,35,11,61,64,30,4,3,2,1,1,4
24,67,33,7,63,60,28,0,1,-4,-2,-1,3
25,67,33,7,63,60,28,0,1,-4,-2,-1,3
26,62,30,2,65,55,25,7,5,-5,-3,-1,2
27,62,30,2,65,55,25,7,5,-5,-3,-1,2
28,71,35,11,61,64,30,4,3,9,5,1,3
29,71,35,11,61,64,30,4,3,9,5,1,3
30,71,35,11,61,64,30,4,3,9,5,1,3
31,71,35,11,61,64,30,4,3,9,5,1,3
32,71,35,11,68,64,30,4,3,0,0,0,3
33,71,35,11,68,64,30,4,3,0,0,0,3
34,71,35,11,60,64,30,4,3,0,0,0,3
35,71,35,11,63,64,30,4,3,0,0,0,3
36,71,35,11,56,64,30,4,3,0,0,0,3
37,71,35,11,62,64,30,4,3,0,0,0,3
38,74,37,2,61,67,32,7,5,3,2,1,4
39,74,37,2,61,67,32,7,5,3,2,1,4
40,74,37,2,68,67,32,7,5,0,0,0,4
41,74,37,2,68,67,32,7,5,0,0,0,4
42,74,37,2,64,67,32,7,5,0,0,0,4
43,72,36,0,64,65,31,5,4,-2,-1,-1,3
44,71,35,11,63,64,30,4,3,-1,-1,-1,2
45,69,34,9,68,62,29,2,2,-2,-1,-1,1
46,67,33,7,58,60,28,0,1,-2,-1,-1,0
47,67,33,7,58,60,28,0,1,-2,-1,-1,0
48,67,33,7,58,60,28,0,1,-2,-1,-1,0
49,66,32,6,69,59,27,11,7,-1,-1,-1,-1
50,69,34,9,58,62,29,2,2,3,2,1,0
51,69,34,9,59,62,29,2,2,0,0,0,0
52,69,34,9,62,62,29,2,2,0,0,0,0
53,69,34,9,67,62,29,2,2,0,0,0,0
54,72,36,0,59,65,31,5,4,3,2,1,1
55,72,36,0,59,65,31,5,4,3,2,1,1
56,72,36,0,65,65,31,5,4,0,0,0,1
57,71,35,11,69,64,30,4,3,-1,-1,-1,0
58,71,35,11,61,64,30,4,3,0,0,0,0
59,69,34,9,67,62,29,2,2,-2,-1,-1,-1
60,62,30,2,64,55,25,7,5,-7,-4,-1,-2
61,67,33,7,69,60,28,0,1,5,3,1,-1
62,71,35,11,60,64,30,4,3,4,2,1,0
63,71,35,11,60,64,30,4,3,4,2,1,0
64,71,35,11,65,64,30,4,3,0,0,0,0
65,71,35,11,65,64,30,4,3,0,0,0,0
66,71,35,11,66,64,30,4,3,0,0,0,0
67,71,35,11,69,64,30,4,3,0,0,0,0
68,71,35,11,65,64,30,4,3,0,0,0,0
69,71,35,11,64,64,30,4,3,0,0,0,0
70,74,37,2,63,67,32,7,5,3,2,1,1
71,74,37,2,63,67,32,7,5,3,2,1,1
72,74,37,2,67,67,32,7,5,0,0,0,1
73,74,37,2,67,67,32,7,5,0,0,0,1
74,74,37,2,60,67,32,7,5,0,0,0,1
75,72,36,0,59,65,31,5,4,-2,-1,-1,0
76,71,35,11,58,64,30,4,3,-1,-1,-1,-1
77,69,34,9,67,62,29,2,2,-2,-1,-1,-2
78,67,33,7,58,60,28,0,1,-2,-1,-1,-3
79,67,33,7,58,60,28,0,1,-2,-1,-1,-3
80,67,33,7,58,60,28,0,1,-2,-1,-1,-3
81,66,32,6,66,59,27,11,7,-1,-1,-1,-4
82,69,34,9,57,62,29,2,2,3,2,1,-3
83,69,34,9,66,62,29,2,2,0,0,0,-3
84,69,34,9,62,62,29,2,2,0,0,0,-3
85,69,34,9,71,62,29,2,2,0,0,0,-3
86,72,36,0,65,65,31,5,4,3,2,1,-2
87,72,36,0,65,65,31,5,4,3,2,1,-2
88,72,36,0,60,65,31,5,4,0,0,0,-2
89,71,35,11,70,64,30,4,3,-1,-1,-1,-3
90,71,35,11,59,64,30,4,3,0,0,0,-3
91,69,34,9,63,62,29,2,2,-2,-1,-1,-4
92,62,30,2,62,55,25,7,5,-7,-4,-1,-5
