eighth_note,midi_note_num,diatonic_note_num,chromatic_pitch_class,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,67,33,7,65,60,28,0,1,0,0,0,0
1,71,35,11,67,64,30,4,3,4,2,1,1
2,69,34,9,57,62,29,2,2,-2,-1,-1,0
3,67,33,7,62,60,28,0,1,-2,-1,-1,-1
4,71,35,11,65,64,30,4,3,4,2,1,0
5,69,34,9,63,62,29,2,2,-2,-1,-1,-1
6,67,33,7,65,60,28,0,1,-2,-1,-1,-2
7,74,37,2,70,67,32,7,5,7,4,1,-1
8,74,37,2,66,67,32,7,5,0,0,0,-1
9,74,37,2,59,67,32,7,5,0,0,0,-1
10,74,37,2,61,67,32,7,5,0,0,0,-1
11,74,37,2,57,67,32,7,5,0,0,0,-1
12,74,37,2,57,67,32,7,5,0,0,0,-1
13,74,37,2,69,67,32,7,5,0,0,0,-1
14,76,38,4,62,69,33,9,6,2,1,1,0
15,79,40,7,59,72,35,0,1,3,2,1,1
16,71,35,11,64,64,30,4,3,-8,-5,-1,0
17,72,36,0,66,65,31,5,4,1,1,1,1
18,74,37,2,62,67,32,7,5,2,1,1,2
19,76,38,4,65,69,33,9,6,2,1,1,3
20,74,37,2,63,67,32,7,5,-2,-1,-1,2
21,73,36,1,59,66,31,6,4,-1,-1,-1,1
22,74,37,2,58,67,32,7,5,1,1,1,2
23,74,37,2,59,67,32,7,5,0,0,0,2
24,74,37,2,59,67,32,7,5,0,0,0,2
25,74,37,2,72,67,32,7,5,0,0,0,2
26,76,38,4,63,69,33,9,6,2,1,1,3
27,78,39,6,62,71,34,11,7,2,1,1,4
28,79,40,7,65,72,35,0,1,1,1,1,5
29,78,39,6,65,71,34,11,7,-1,-1,-1,4
30,76,38,4,60,69,33,9,6,-2,-1,-1,3
31,74,37,2,62,67,32,7,5,-2,-1,-1,2
32,72,36,0,63,65,31,5,4,-2,-1,-1,1
33,72,36,0,63,65,31,5,4,-2,-1,-1,1
34,71,35,11,66,64,30,4,3,-1,-1,-1,0
35,74,37,2,56,67,32,7,5,3,2,1,1
36,74,37,2,56,67,32,7,5,3,2,1,1
37,76,38,4,66,69,33,9,6,2,1,1,2
38,74,37,2,59,67,32,7,5,-2,-1,-1,1
39,74,37,2,59,67,32,7,5,-2,-1,-1,1
40,74,37,2,56,67,32,7,5,0,0,0,1
41,72,36,0,57,65,31,5,4,-2,-1,-1,0
42,71,35,11,64,64,30,4,3,-1,-1,-1,-1
43,69,34,9,72,62,29,2,2,-2,-1,-1,-2
44,71,35,11,56,64,30,4,3,2,1,1,-1
45,71,35,11,56,64,30,4,3,2,1,1,-1
46,71,35,11,56,64,30,4,3,2,1,1,-1
47,71,35,11,56,64,30,4,3,2,1,1,-1
48,72,36,0,61,65,31,5,4,1,1,1,0
49,74,37,2,62,67,32,7,5,2,1,1,1
50,76,38,4,62,69,33,9,6,2,1,1,2
51,74,37,2,57,67,32,7,5,-2,-1,-1,1
52,71,35,11,65,64,30,4,3,-3,-2,-1,0
53,69,34,9,58,62,29,2,2,-2,-1,-1,-1
54,67,33,7,66,60,28,0,1,-2,-1,-1,-2
55,72,36,0,71,65,31,5,4,5,3,1,-1
56,71,35,11,61,64,30,4,3,-1,-1,-1,-2
57,71,35,11,61,64,30,4,3,-1,-1,-1,-2
58,69,34,9,58,62,29,2,2,-2,-1,-1,-3
59,71,35,11,65,64,30,4,3,2,1,1,-2
60,72,36,0,61,65,31,5,4,1,1,1,-1
61,74,37,2,69,67,32,7,5,2,1,1,0
62,76,38,4,60,69,33,9,6,2,1,1,1
63,74,37,2,62,67,32,7,5,-2,-1,-1,0
64,72,36,0,58,65,31,5,4,-2,-1,-1,-1
65,71,35,11,61,64,30,4,3,-1,-1,-1,-2
66,69,34,9,61,62,29,2,2,-2,-1,-1,-3
