eighth_note,midi_note_num,diatonic_note_num,chromatic_pitch_class,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,67,33,7,61,60,28,0,1,0,0,0,0
1,72,36,0,65,65,31,5,4,5,3,1,1
2,72,36,0,65,65,31,5,4,5,3,1,1
3,71,35,11,67,64,30,4,3,-1,-1,-1,0
4,71,35,11,67,64,30,4,3,-1,-1,-1,0
5,69,34,9,64,62,29,2,2,-2,-1,-1,-1
6,69,34,9,64,62,29,2,2,-2,-1,-1,-1
7,67,33,7,59,60,28,0,1,-2,-1,-1,-2
8,67,33,7,59,60,28,0,1,-2,-1,-1,-2
9,72,36,0,63,65,31,5,4,5,3,1,-1
10,72,36,0,63,65,31,5,4,5,3,1,-1
11,71,35,11,68,64,30,4,3,-1,-1,-1,-2
12,71,35,11,68,64,30,4,3,-1,-1,-1,-2
13,69,34,9,72,62,29,2,2,-2,-1,-1,-3
14,69,34,9,72,62,29,2,2,-2,-1,-1,-3
15,71,35,11,63,64,30,4,3,2,1,1,-2
16,71,35,11,63,64,30,4,3,2,1,1,-2
17,71,35,11,63,64,30,4,3,0,0,0,-2
18,72,36,0,71,65,31,5,4,1,1,1,-1
19,71,35,11,66,64,30,4,3,-1,-1,-1,-2
20,71,35,11,66,64,30,4,3,-1,-1,-1,-2
21,69,34,9,65,62,29,2,2,-2,-1,-1,-3
22,69,34,9,65,62,29,2,2,-2,-1,-1,-3
23,67,33,7,68,60,28,0,1,-2,-1,-1,-4
24,67,33,7,68,60,28,0,1,-2,-1,-1,-4
25,72,36,0,65,65,31,5,4,5,3,1,-3
26,72,36,0,65,65,31,5,4,5,3,1,-3
27,71,35,11,60,64,30,4,3,-1,-1,-1,-4
28,71,35,11,60,64,30,4,3,-1,-1,-1,-4
29,69,34,9,68,62,29,2,2,-2,-1,-1,-5
30,69,34,9,68,62,29,2,2,-2,-1,-1,-5
31,69,34,9,58,62,29,2,2,0,0,0,-5
32,69,34,9,58,62,29,2,2,0,0,0,-5
33,69,34,9,58,62,29,2,2,0,0,0,-5
34,74,37,2,68,67,32,7,5,5,3,1,-4
35,74,37,2,60,67,32,7,5,0,0,0,-4
36,74,37,2,60,67,32,7,5,0,0,0,-4
37,74,37,2,60,67,32,7,5,0,0,0,-4
38,74,37,2,66,67,32,7,5,0,0,0,-4
39,74,37,2,56,67,32,7,5,0,0,0,-4
40,74,37,2,56,67,32,7,5,0,0,0,-4
41,74,37,2,56,67,32,7,5,0,0,0,-4
42,76,38,4,64,69,33,9,6,2,1,1,-3
43,74,37,2,63,67,32,7,5,-2,-1,-1,-4
44,74,37,2,63,67,32,7,5,-2,-1,-1,-4
45,67,33,7,68,60,28,0,1,-7,-4,-1,-5
46,67,33,7,68,60,28,0,1,-7,-4,-1,-5
47,69,34,9,64,62,29,2,2,2,1,1,-4
48,69,34,9,64,62,29,2,2,2,1,1,-4
49,71,35,11,63,64,30,4,3,2,1,1,-3
50,72,36,0,69,65,31,5,4,1,1,1,-2
51,71,35,11,61,64,30,4,3,-1,-1,-1,-3
52,71,35,11,61,64,30,4,3,-1,-1,-1,-3
53,69,34,9,70,62,29,2,2,-2,-1,-1,-4
54,69,34,9,70,62,29,2,2,-2,-1,-1,-4
55,67,33,7,66,60,28,0,1,-2,-1,-1,-5
56,67,33,7,66,60,28,0,1,-2,-1,-1,-5
57,72,36,0,62,65,31,5,4,5,3,1,-4
