eighth_note,midi_note_num,diatonic_note_num,chromatic_pitch_class,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,67,33,7,68,60,28,0,1,0,0,0,0
1,71,35,11,63,64,30,4,3,4,2,1,1
2,71,35,11,63,64,30,4,3,4,2,1,1
3,74,37,2,59,67,32,7,5,3,2,1,2
4,74,37,2,59,67,32,7,5,0,0,0,2
5,74,37,2,59,67,32,7,5,0,0,0,2
6,76,38,4,66,69,33,9,6,2,1,1,3
7,74,37,2,60,67,32,7,5,-2,-1,-1,2
8,74,37,2,63,67,32,7,5,0,0,0,2
9,76,38,4,65,69,33,9,6,2,1,1,3
10,74,37,2,61,67,32,7,5,-2,-1,-1,2
11,74,37,2,58,67,32,7,5,0,0,0,2
12,71,35,11,65,64,30,4,3,-3,-2,-1,1
13,71,35,11,57,64,30,4,3,0,0,0,1
14,74,37,2,66,67,32,7,5,3,2,1,2
15,74,37,2,58,67,32,7,5,0,0,0,2
16,72,36,0,59,65,31,5,4,-2,-1,-1,1
17,72,36,0,59,65,31,5,4,-2,-1,-1,1
18,72,36,0,59,65,31,5,4,-2,-1,-1,1
19,72,36,0,64,65,31,5,4,0,0,0,1
20,72,36,0,64,65,31,5,4,0,0,0,1
21,72,36,0,64,65,31,5,4,0,0,0,1
22,74,37,2,58,67,32,7,5,2,1,1,2
23,76,38,4,66,69,33,9,6,2,1,1,3
24,76,38,4,57,69,33,9,6,0,0,0,3
25,74,37,2,62,67,32,7,5,-2,-1,-1,2
26,74,37,2,62,67,32,7,5,-2,-1,-1,2
27,74,37,2,62,67,32,7,5,-2,-1,-1,2
28,67,33,7,67,60,28,0,1,-7,-4,-1,1
29,67,33,7,67,60,28,0,1,-7,-4,-1,1
30,67,33,7,67,60,28,0,1,-7,-4,-1,1
31,71,35,11,57,64,30,4,3,4,2,1,2
32,71,35,11,57,64,30,4,3,4,2,1,2
33,74,37,2,64,67,32,7,5,3,2,1,3
34,79,40,7,64,72,35,0,1,5,3,1,4
35,79,40,7,64,72,35,0,1,5,3,1,4
36,81,41,9,64,74,36,2,2,2,1,1,5
37,79,40,7,62,72,35,0,1,-2,-1,-1,4
38,79,40,7,62,72,35,0,1,-2,-1,-1,4
39,76,38,4,64,69,33,9,6,-3,-2,-1,3
40,78,39,6,68,71,34,11,7,2,1,1,4
41,78,39,6,68,71,34,11,7,2,1,1,4
42,78,39,6,68,71,34,11,7,2,1,1,4
43,78,39,6,60,71,34,11,7,0,0,0,4
44,76,38,4,58,69,33,9,6,-2,-1,-1,3
45,74,37,2,58,67,32,7,5,-2,-1,-1,2
46,74,37,2,57,67,32,7,5,0,0,0,2
47,76,38,4,66,69,33,9,6,2,1,1,3
48,74,37,2,64,67,32,7,5,-2,-1,-1,2
49,72,36,0,62,65,31,5,4,-2,-1,-1,1
50,72,36,0,62,65,31,5,4,-2,-1,-1,1
