eighth_note,midi_note_num,diatonic_note_num,chromatic_pitch_class,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,62,30,2,58,55,25,7,5,0,0,0,0
1,71,35,11,65,64,30,4,3,9,5,1,1
2,71,35,11,64,64,30,4,3,0,0,0,1
3,71,35,11,64,64,30,4,3,0,0,0,1
4,71,35,11,58,64,30,4,3,0,0,0,1
5,69,34,9,56,62,29,2,2,-2,-1,-1,0
6,67,33,7,59,60,28,0,1,-2,-1,-1,-1
7,69,34,9,71,62,29,2,2,2,1,1,0
8,71,35,11,66,64,30,4,3,2,1,1,1
9,71,35,11,66,64,30,4,3,2,1,1,1
10,72,36,0,60,65,31,5,4,1,1,1,2
11,71,35,11,60,64,30,4,3,-1,-1,-1,1
12,69,34,9,63,62,29,2,2,-2,-1,-1,0
13,67,33,7,71,60,28,0,1,-2,-1,-1,-1
14,62,30,2,65,55,25,7,5,-5,-3,-1,-2
15,62,30,2,65,55,25,7,5,-5,-3,-1,-2
16,62,30,2,65,55,25,7,5,-5,-3,-1,-2
17,62,30,2,65,55,25,7,5,-5,-3,-1,-2
18,62,30,2,65,55,25,7,5,-5,-3,-1,-2
19,71,35,11,65,64,30,4,3,9,5,1,-1
20,71,35,11,57,64,30,4,3,0,0,0,-1
21,71,35,11,57,64,30,4,3,0,0,0,-1
22,71,35,11,62,64,30,4,3,0,0,0,-1
23,69,34,9,61,62,29,2,2,-2,-1,-1,-2
24,67,33,7,58,60,28,0,1,-2,-1,-1,-3
25,69,34,9,68,62,29,2,2,2,1,1,-2
26,71,35,11,60,64,30,4,3,2,1,1,-1
27,71,35,11,60,64,30,4,3,2,1,1,-1
28,72,36,0,60,65,31,5,4,1,1,1,0
29,71,35,11,56,64,30,4,3,-1,-1,-1,-1
30,69,34,9,56,62,29,2,2,-2,-1,-1,-2
31,67,33,7,66,60,28,0,1,-2,-1,-1,-3
32,71,35,11,61,64,30,4,3,4,2,1,-2
33,71,35,11,61,64,30,4,3,4,2,1,-2
34,71,35,11,61,64,30,4,3,4,2,1,-2
35,71,35,11,61,64,30,4,3,4,2,1,-2
36,71,35,11,61,64,30,4,3,4,2,1,-2
37,74,37,2,68,67,32,7,5,3,2,1,-1
38,74,37,2,63,67,32,7,5,0,0,0,-1
39,74,37,2,63,67,32,7,5,0,0,0,-1
40,74,37,2,58,67,32,7,5,0,0,0,-1
41,76,38,4,64,69,33,9,6,2,1,1,0
42,78,39,6,63,71,34,11,7,2,1,1,1
43,76,38,4,62,69,33,9,6,-2,-1,-1,0
44,74,37,2,62,67,32,7,5,-2,-1,-1,-1
45,74,37,2,61,67,32,7,5,0,0,0,-1
46,74,37,2,56,67,32,7,5,0,0,0,-1
47,71,35,11,61,64,30,4,3,-3,-2,-1,-2
48,71,35,11,61,64,30,4,3,-3,-2,-1,-2
49,69,34,9,67,62,29,2,2,-2,-1,-1,-3
50,69,34,9,64,62,29,2,2,0,0,0,-3
51,67,33,7,64,60,28,0,1,-2,-1,-1,-4
52,71,35,11,63,64,30,4,3,4,2,1,-3
53,72,36,0,56,65,31,5,4,1,1,1,-2
54,72,36,0,56,65,31,5,4,1,1,1,-2
55,74,37,2,71,67,32,7,5,2,1,1,-1
56,74,37,2,59,67,32,7,5,0,0,0,-1
57,74,37,2,59,67,32,7,5,0,0,0,-1
58,74,37,2,66,67,32,7,5,0,0,0,-1
59,71,35,11,66,64,30,4,3,-3,-2,-1,-2
60,69,34,9,65,62,29,2,2,-2,-1,-1,-3
