,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,74,37,2,0.0,1.0,63,67,32,7,5,0,0,0,0
1,74,37,2,1.0,1.0,56,67,32,7,5,0,0,0,0
2,74,37,2,2.0,2.0,61,67,32,7,5,0,0,0,0
3,74,37,2,4.0,2.0,62,67,32,7,5,0,0,0,0
4,79,40,7,6.0,2.0,71,72,35,0,1,5,3,1,1
5,78,39,6,8.0,2.0,61,71,34,11,7,-1,-1,-1,0
6,76,38,4,10.0,2.0,64,69,33,9,6,-2,-1,-1,-1
7,76,38,4,12.0,2.0,68,69,33,9,6,0,0,0,-1
8,74,37,2,14.0,2.0,58,67,32,7,5,-2,-1,-1,-2
9,74,37,2,16.0,2.0,64,67,32,7,5,0,0,0,-2
10,76,38,4,18.0,2.0,70,69,33,9,6,2,1,1,-1
11,76,38,4,20.0,2.0,61,69,33,9,6,0,0,0,-1
12,74,37,2,22.0,4.0,62,67,32,7,5,-2,-1,-1,-2
13,71,35,11,26.0,1.0,65,64,30,4,3,-3,-2,-1,-3
14,72,36,0,27.0,1.0,57,65,31,5,4,1,1,1,-2
15,71,35,11,28.0,2.0,65,64,30,4,3,-1,-1,-1,-3
16,72,36,0,30.0,2.0,63,65,31,5,4,1,1,1,-2
17,74,37,2,32.0,4.0,67,67,32,7,5,2,1,1,-1
18,74,37,2,36.0,2.0,59,67,32,7,5,0,0,0,-1
19,74,37,2,38.0,4.0,62,67,32,7,5,0,0,0,-1
20,72,36,0,42.0,2.0,60,65,31,5,4,-2,-1,-1,-2
21,71,35,11,44.0,2.0,68,64,30,4,3,-1,-1,-1,-3
22,67,33,7,46.0,1.0,68,60,28,0,1,-4,-2,-1,-4
23,67,33,7,47.0,1.0,62,60,28,0,1,0,0,0,-4
24,71,35,11,48.0,2.0,62,64,30,4,3,4,2,1,-3
25,74,37,2,50.0,2.0,64,67,32,7,5,3,2,1,-2
26,79,40,7,52.0,4.0,65,72,35,0,1,5,3,1,-1
27,79,40,7,56.0,2.0,63,72,35,0,1,0,0,0,-1
28,81,41,9,58.0,4.0,70,74,36,2,2,2,1,1,0
29,81,41,9,62.0,2.0,66,74,36,2,2,0,0,0,0
30,83,42,11,64.0,2.0,65,76,37,4,3,2,1,1,1
31,79,40,7,66.0,2.0,69,72,35,0,1,-4,-2,-1,0
32,79,40,7,68.0,1.0,65,72,35,0,1,0,0,0,0
33,79,40,7,69.0,1.0,57,72,35,0,1,0,0,0,0
34,78,39,6,70.0,2.0,56,71,34,11,7,-1,-1,-1,-1
35,76,38,4,72.0,2.0,60,69,33,9,6,-2,-1,-1,-2
36,74,37,2,74.0,2.0,70,67,32,7,5,-2,-1,-1,-3
37,79,40,7,76.0,2.0,61,72,35,0,1,5,3,1,-2
38,74,37,2,78.0,2.0,58,67,32,7,5,-5,-3,-1,-3
39,74,37,2,80.0,2.0,66,67,32,7,5,0,0,0,-3
40,72,36,0,82.0,2.0,61,65,31,5,4,-2,-1,-1,-4
41,69,34,9,84.0,2.0,62,62,29,2,2,-3,-2,-1,-5
42,67,33,7,86.0,4.0,62,60,28,0,1,-2,-1,-1,-6
