,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,74,37,2,0.0,1.0,66,67,32,7,5,0,0,0,0
1,74,37,2,1.0,2.0,69,67,32,7,5,0,0,0,0
2,74,37,2,3.0,1.0,59,67,32,7,5,0,0,0,0
3,67,33,7,4.0,1.0,59,60,28,0,1,-7,-4,-1,-1
4,69,34,9,5.0,1.0,66,62,29,2,2,2,1,1,0
5,71,35,11,6.0,1.0,60,64,30,4,3,2,1,1,1
6,72,36,0,7.0,1.0,69,65,31,5,4,1,1,1,2
7,71,35,11,8.0,1.0,65,64,30,4,3,-1,-1,-1,1
8,72,36,0,9.0,1.0,61,65,31,5,4,1,1,1,2
9,69,34,9,10.0,2.0,58,62,29,2,2,-3,-2,-1,1
10,69,34,9,12.0,1.0,65,62,29,2,2,0,0,0,1
11,72,36,0,13.0,1.0,65,65,31,5,4,3,2,1,2
12,71,35,11,14.0,1.0,57,64,30,4,3,-1,-1,-1,1
13,69,34,9,15.0,1.0,63,62,29,2,2,-2,-1,-1,0
14,72,36,0,16.0,1.0,58,65,31,5,4,3,2,1,1
15,71,35,11,17.0,1.0,56,64,30,4,3,-1,-1,-1,0
16,69,34,9,18.0,1.0,56,62,29,2,2,-2,-1,-1,-1
17,67,33,7,19.0,1.0,64,60,28,0,1,-2,-1,-1,-2
18,71,35,11,20.0,1.0,58,64,30,4,3,4,2,1,-1
19,67,33,7,21.0,1.0,63,60,28,0,1,-4,-2,-1,-2
20,62,30,2,22.0,2.0,57,55,25,7,5,-5,-3,-1,-3
21,62,30,2,24.0,1.0,66,55,25,7,5,0,0,0,-3
22,67,33,7,25.0,3.0,62,60,28,0,1,5,3,1,-2
23,69,34,9,28.0,2.0,61,62,29,2,2,2,1,1,-1
24,69,34,9,30.0,1.0,57,62,29,2,2,0,0,0,-1
25,71,35,11,31.0,2.0,70,64,30,4,3,2,1,1,0
26,76,38,4,33.0,1.0,62,69,33,9,6,5,3,1,1
27,74,37,2,34.0,2.0,58,67,32,7,5,-2,-1,-1,0
28,67,33,7,36.0,1.0,62,60,28,0,1,-7,-4,-1,-1
29,69,34,9,37.0,2.0,69,62,29,2,2,2,1,1,0
30,76,38,4,39.0,1.0,57,69,33,9,6,7,4,1,1
31,74,37,2,40.0,2.0,62,67,32,7,5,-2,-1,-1,0
32,72,36,0,42.0,1.0,60,65,31,5,4,-2,-1,-1,-1
33,71,35,11,43.0,3.0,64,64,30,4,3,-1,-1,-1,-2
