,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,62,30,2,0.0,2.0,61,55,25,7,5,0,0,0,0
1,72,36,0,2.0,3.0,62,65,31,5,4,10,6,1,1
2,72,36,0,5.0,1.0,61,65,31,5,4,0,0,0,1
3,72,36,0,6.0,2.0,62,65,31,5,4,0,0,0,1
4,71,35,11,8.0,4.0,71,64,30,4,3,-1,-1,-1,0
5,67,33,7,12.0,1.0,61,60,28,0,1,-4,-2,-1,-1
6,67,33,7,13.0,1.0,64,60,28,0,1,0,0,0,-1
7,71,35,11,14.0,2.0,64,64,30,4,3,4,2,1,0
8,69,34,9,16.0,2.0,67,62,29,2,2,-2,-1,-1,-1
9,62,30,2,20.0,1.0,67,55,25,7,5,-7,-4,-1,-2
10,62,30,2,21.0,1.0,58,55,25,7,5,0,0,0,-2
11,72,36,0,22.0,3.0,70,65,31,5,4,10,6,1,-1
12,72,36,0,25.0,1.0,60,65,31,5,4,0,0,0,-1
13,72,36,0,26.0,2.0,59,65,31,5,4,0,0,0,-1
14,71,35,11,28.0,4.0,71,64,30,4,3,-1,-1,-1,-2
15,67,33,7,32.0,1.0,63,60,28,0,1,-4,-2,-1,-3
16,67,33,7,33.0,1.0,66,60,28,0,1,0,0,0,-3
17,71,35,11,34.0,2.0,71,64,30,4,3,4,2,1,-2
18,69,34,9,36.0,2.0,59,62,29,2,2,-2,-1,-1,-3
19,71,35,11,40.0,1.0,64,64,30,4,3,2,1,1,-2
20,69,34,9,41.0,1.0,62,62,29,2,2,-2,-1,-1,-3
21,67,33,7,42.0,2.0,71,60,28,0,1,-2,-1,-1,-4
22,67,33,7,44.0,1.0,65,60,28,0,1,0,0,0,-4
23,67,33,7,45.0,1.0,56,60,28,0,1,0,0,0,-4
24,69,34,9,46.0,2.0,67,62,29,2,2,2,1,1,-3
25,69,34,9,48.0,1.0,66,62,29,2,2,0,0,0,-3
26,69,34,9,49.0,1.0,58,62,29,2,2,0,0,0,-3
27,74,37,2,50.0,2.0,69,67,32,7,5,5,3,1,-2
28,71,35,11,52.0,1.0,67,64,30,4,3,-3,-2,-1,-3
29,69,34,9,53.0,1.0,66,62,29,2,2,-2,-1,-1,-4
30,67,33,7,54.0,2.0,69,60,28,0,1,-2,-1,-1,-5
31,67,33,7,56.0,1.0,62,60,28,0,1,0,0,0,-5
32,69,34,9,57.0,1.0,59,62,29,2,2,2,1,1,-4
33,71,35,11,58.0,4.0,72,64,30,4,3,2,1,1,-3
34,69,34,9,62.0,3.0,64,62,29,2,2,-2,-1,-1,-4
35,66,32,6,65.0,1.0,66,59,27,11,7,-3,-2,-1,-5
36,67,33,7,66.0,4.0,62,60,28,0,1,1,1,1,-4
