,midi_note_num,diatonic_note_num,chromatic_pitch_class,beat_strength,bar_num,offset,duration,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,60,29,0,0.5,0,0.0,2.0,0,-5,-3,7,5,0,0,0,0
1,65,32,5,1.0,1,2.0,4.0,0,0,0,0,1,5,3,1,1
2,60,29,0,0.5,1,6.0,2.0,0,-5,-3,7,5,-5,-3,-1,0
3,58,28,10,1.0,2,8.0,4.0,0,-7,-4,5,4,-2,-1,-1,-1
4,57,27,9,0.5,2,12.0,2.0,0,-8,-5,4,3,-1,-1,-1,-2
5,55,26,7,1.0,3,14.0,6.0,0,-10,-6,2,2,-2,-1,-1,-3
6,55,26,7,1.0,4,20.0,4.0,0,-10,-6,2,2,0,0,0,-3
7,64,31,4,0.5,4,24.0,2.0,0,-1,-1,11,7,9,5,1,-2
8,67,33,7,1.0,5,26.0,4.0,0,2,1,2,2,3,2,1,-1
9,64,31,4,0.5,5,30.0,2.0,0,-1,-1,11,7,-3,-2,-1,-2
10,60,29,0,1.0,6,32.0,4.0,0,-5,-3,7,5,-4,-2,-1,-3
11,58,28,10,0.5,6,36.0,2.0,0,-7,-4,5,4,-2,-1,-1,-4
12,57,27,9,1.0,7,38.0,6.0,0,-8,-5,4,3,-1,-1,-1,-5
13,57,27,9,1.0,8,44.0,4.0,0,-8,-5,4,3,0,0,0,-5
14,60,29,0,0.5,8,48.0,2.0,0,-5,-3,7,5,3,2,1,-4
15,65,32,5,1.0,9,50.0,4.0,0,0,0,0,1,5,3,1,-3
16,69,34,9,0.5,9,54.0,2.0,0,4,2,4,3,4,2,1,-2
17,67,33,7,1.0,10,56.0,4.0,0,2,1,2,2,-2,-1,-1,-3
18,65,32,5,0.5,10,60.0,2.0,0,0,0,0,1,-2,-1,-1,-4
19,62,30,2,1.0,11,62.0,6.0,0,-3,-2,9,6,-3,-2,-1,-5
