,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,71,35,11,0.0,2.0,68,64,30,4,3,0,0,0,0
1,69,34,9,2.0,0.5,60,62,29,2,2,-2,-1,-1,-1
2,69,34,9,2.5,0.5,62,62,29,2,2,0,0,0,-1
3,71,35,11,3.0,1.0,61,64,30,4,3,2,1,1,0
4,72,36,0,4.0,1.0,70,65,31,5,4,1,1,1,1
5,71,35,11,5.0,1.0,62,64,30,4,3,-1,-1,-1,0
6,69,34,9,6.0,1.5,65,62,29,2,2,-2,-1,-1,-1
7,69,34,9,7.5,0.5,60,62,29,2,2,0,0,0,-1
8,67,33,7,8.0,1.0,71,60,28,0,1,-2,-1,-1,-2
9,71,35,11,9.0,1.0,59,64,30,4,3,4,2,1,-1
10,74,37,2,10.0,1.0,68,67,32,7,5,3,2,1,0
11,74,37,2,11.0,1.0,60,67,32,7,5,0,0,0,0
12,69,34,9,12.0,1.0,66,62,29,2,2,-5,-3,-1,-1
13,76,38,4,13.0,1.0,65,69,33,9,6,7,4,1,0
14,74,37,2,14.0,2.0,68,67,32,7,5,-2,-1,-1,-1
15,74,37,2,16.0,2.0,71,67,32,7,5,0,0,0,-1
16,76,38,4,18.0,1.0,59,69,33,9,6,2,1,1,0
17,74,37,2,19.0,1.0,66,67,32,7,5,-2,-1,-1,-1
18,72,36,0,20.0,1.0,62,65,31,5,4,-2,-1,-1,-2
19,76,38,4,21.0,1.0,59,69,33,9,6,4,2,1,-1
20,74,37,2,22.0,1.5,61,67,32,7,5,-2,-1,-1,-2
21,72,36,0,23.5,0.5,64,65,31,5,4,-2,-1,-1,-3
22,71,35,11,24.0,1.0,64,64,30,4,3,-1,-1,-1,-4
23,69,34,9,25.0,1.0,59,62,29,2,2,-2,-1,-1,-5
24,71,35,11,26.0,1.0,60,64,30,4,3,2,1,1,-4
25,72,36,0,27.0,1.0,63,65,31,5,4,1,1,1,-3
26,74,37,2,28.0,4.0,72,67,32,7,5,2,1,1,-2
27,67,33,7,32.0,1.5,68,60,28,0,1,-7,-4,-1,-3
28,67,33,7,33.5,0.5,65,60,28,0,1,0,0,0,-3
29,71,35,11,34.0,1.0,66,64,30,4,3,4,2,1,-2
30,74,37,2,35.0,0.5,66,67,32,7,5,3,2,1,-1
31,74,37,2,35.5,0.5,58,67,32,7,5,0,0,0,-1
32,79,40,7,36.0,2.0,68,72,35,0,1,5,3,1,0
33,78,39,6,38.0,2.0,67,71,34,11,7,-1,-1,-1,-1
34,78,39,6,40.0,1.0,67,71,34,11,7,0,0,0,-1
35,81,41,9,41.0,1.0,64,74,36,2,2,3,2,1,0
36,79,40,7,42.0,1.0,66,72,35,0,1,-2,-1,-1,-1
37,78,39,6,43.0,1.0,57,71,34,11,7,-1,-1,-1,-2
38,76,38,4,44.0,1.0,71,69,33,9,6,-2,-1,-1,-3
39,74,37,2,45.0,1.0,56,67,32,7,5,-2,-1,-1,-4
40,74,37,2,46.0,2.0,63,67,32,7,5,0,0,0,-4
41,74,37,2,48.0,2.0,71,67,32,7,5,0,0,0,-4
42,76,38,4,50.0,1.0,68,69,33,9,6,2,1,1,-3
43,72,36,0,51.0,1.0,58,65,31,5,4,-4,-2,-1,-4
44,71,35,11,52.0,1.0,70,64,30,4,3,-1,-1,-1,-5
45,74,37,2,53.0,1.0,64,67,32,7,5,3,2,1,-4
46,67,33,7,54.0,1.5,64,60,28,0,1,-7,-4,-1,-5
47,67,33,7,55.5,0.5,59,60,28,0,1,0,0,0,-5
48,66,32,6,56.0,1.0,69,59,27,11,7,-1,-1,-1,-6
49,69,34,9,57.0,1.0,62,62,29,2,2,3,2,1,-5
50,72,36,0,58.0,0.5,63,65,31,5,4,3,2,1,-4
51,72,36,0,58.5,0.5,57,65,31,5,4,0,0,0,-4
52,71,35,11,59.0,1.0,63,64,30,4,3,-1,-1,-1,-5
53,67,33,7,60.0,4.0,71,60,28,0,1,-4,-2,-1,-6
