,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,67,33,7,0.0,0.67,67,60,28,0,1,0,0,0,0
1,66,32,6,0.67,0.67,58,59,27,11,7,-1,-1,-1,-1
2,67,33,7,1.33,0.67,60,60,28,0,1,1,1,1,0
3,69,34,9,2.0,2.0,63,62,29,2,2,2,1,1,1
4,69,34,9,4.0,1.0,63,62,29,2,2,0,0,0,1
5,69,34,9,5.0,1.0,62,62,29,2,2,0,0,0,1
6,69,34,9,6.0,2.0,62,62,29,2,2,0,0,0,1
7,74,37,2,8.0,0.67,61,67,32,7,5,5,3,1,2
8,73,36,1,8.67,0.67,57,66,31,6,4,-1,-1,-1,1
9,74,37,2,9.33,0.67,57,67,32,7,5,1,1,1,2
10,66,32,6,10.0,2.0,66,59,27,11,7,-8,-5,-1,1
11,64,31,4,12.0,2.0,60,57,26,9,6,-2,-1,-1,0
12,62,30,2,14.0,2.0,72,55,25,7,5,-2,-1,-1,-1
13,74,37,2,16.0,1.0,66,67,32,7,5,12,7,1,0
14,73,36,1,17.0,1.0,57,66,31,6,4,-1,-1,-1,-1
15,71,35,11,18.0,1.0,64,64,30,4,3,-2,-1,-1,-2
16,73,36,1,19.0,1.0,61,66,31,6,4,2,1,1,-1
17,74,37,2,20.0,1.0,69,67,32,7,5,1,1,1,0
18,76,38,4,21.0,1.0,62,69,33,9,6,2,1,1,1
19,76,38,4,22.0,3.0,70,69,33,9,6,0,0,0,1
20,74,37,2,25.0,1.0,63,67,32,7,5,-2,-1,-1,0
21,73,36,1,26.0,3.0,66,66,31,6,4,-1,-1,-1,-1
22,71,35,11,29.0,1.0,61,64,30,4,3,-2,-1,-1,-2
23,69,34,9,30.0,2.0,70,62,29,2,2,-2,-1,-1,-3
24,69,34,9,32.0,0.67,69,62,29,2,2,0,0,0,-3
25,71,35,11,32.66,0.67,63,64,30,4,3,2,1,1,-2
26,73,36,1,33.34,0.67,63,66,31,6,4,2,1,1,-1
27,74,37,2,34.0,2.0,72,67,32,7,5,1,1,1,0
28,69,34,9,36.0,1.0,66,62,29,2,2,-5,-3,-1,-1
29,73,36,1,37.0,1.0,61,66,31,6,4,4,2,1,0
30,71,35,11,38.0,2.0,70,64,30,4,3,-2,-1,-1,-1
31,74,37,2,40.0,0.67,64,67,32,7,5,3,2,1,0
32,73,36,1,40.66,0.67,56,66,31,6,4,-1,-1,-1,-1
33,74,37,2,41.34,0.67,57,67,32,7,5,1,1,1,0
34,69,34,9,42.0,2.0,66,62,29,2,2,-5,-3,-1,-1
35,67,33,7,44.0,2.0,66,60,28,0,1,-2,-1,-1,-2
36,66,32,6,46.0,3.0,68,59,27,11,7,-1,-1,-1,-3
37,69,34,9,49.0,1.0,63,62,29,2,2,3,2,1,-2
38,67,33,7,50.0,2.0,68,60,28,0,1,-2,-1,-1,-3
39,66,32,6,52.0,1.0,69,59,27,11,7,-1,-1,-1,-4
40,67,33,7,53.0,1.0,59,60,28,0,1,1,1,1,-3
41,69,34,9,54.0,1.0,72,62,29,2,2,2,1,1,-2
42,71,35,11,55.0,1.0,64,64,30,4,3,2,1,1,-1
43,74,37,2,56.0,0.67,60,67,32,7,5,3,2,1,0
44,73,36,1,56.66,0.67,61,66,31,6,4,-1,-1,-1,-1
45,74,37,2,57.34,0.67,59,67,32,7,5,1,1,1,0
46,64,31,4,58.0,4.0,70,57,26,9,6,-10,-6,-1,-1
47,62,30,2,62.0,4.0,72,55,25,7,5,-2,-1,-1,-2
