,midi_note_num,diatonic_note_num,chromatic_pitch_class,beat_strength,bar_num,offset,duration,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,60,29,0,0.25,0,0.0,1.0,0,-5,-3,7,5,0,0,0,0
1,65,32,5,1.0,1,1.0,3.0,0,0,0,0,1,5,3,1,1
2,65,32,5,0.5,1,4.0,1.0,0,0,0,0,1,0,0,0,1
3,64,31,4,0.25,1,5.0,1.0,0,-1,-1,11,7,-1,-1,-1,0
4,62,30,2,0.25,1,6.0,1.0,0,-3,-2,9,6,-2,-1,-1,-1
5,60,29,0,1.0,2,7.0,3.0,0,-5,-3,7,5,-2,-1,-1,-2
6,65,32,5,0.5,2,10.0,1.5,0,0,0,0,1,5,3,1,-1
7,67,33,7,0.125,2,11.5,0.5,0,2,1,2,2,2,1,1,0
8,69,34,9,0.25,2,12.0,1.0,0,4,2,4,3,2,1,1,1
9,67,33,7,1.0,3,13.0,1.5,0,2,1,2,2,-2,-1,-1,0
10,66,32,6,0.125,3,14.5,0.5,0,1,0,1,1,-1,-1,-1,-1
11,67,33,7,0.25,3,15.0,1.0,0,2,1,2,2,1,1,1,0
12,67,33,7,0.5,3,16.0,1.5,0,2,1,2,2,0,0,0,0
13,66,32,6,0.125,3,17.5,0.5,0,1,0,1,1,-1,-1,-1,-1
14,67,33,7,0.25,3,18.0,1.0,0,2,1,2,2,1,1,1,0
15,67,33,7,1.0,4,19.0,1.5,0,2,1,2,2,0,0,0,0
16,66,32,6,0.125,4,20.5,0.5,0,1,0,1,1,-1,-1,-1,-1
17,67,33,7,0.25,4,21.0,1.0,0,2,1,2,2,1,1,1,0
18,72,36,0,0.5,4,22.0,1.5,0,7,4,7,5,5,3,1,1
19,74,37,2,0.125,4,23.5,0.5,0,9,5,9,6,2,1,1,2
20,72,36,0,0.25,4,24.0,1.0,0,7,4,7,5,-2,-1,-1,1
21,69,34,9,1.0,5,25.0,1.0,0,4,2,4,3,-3,-2,-1,0
22,67,33,7,0.25,5,26.0,1.0,0,2,1,2,2,-2,-1,-1,-1
23,69,34,9,0.25,5,27.0,1.0,0,4,2,4,3,2,1,1,0
24,65,32,5,0.5,5,28.0,1.0,0,0,0,0,1,-4,-2,-1,-1
25,69,34,9,0.25,5,29.0,1.0,0,4,2,4,3,4,2,1,0
26,67,33,7,0.25,5,30.0,1.0,0,2,1,2,2,-2,-1,-1,-1
27,65,32,5,1.0,6,31.0,3.0,0,0,0,0,1,-2,-1,-1,-2
28,65,32,5,0.5,6,34.0,1.0,0,0,0,0,1,0,0,0,-2
29,64,31,4,0.25,6,35.0,1.0,0,-1,-1,11,7,-1,-1,-1,-3
30,62,30,2,0.25,6,36.0,1.0,0,-3,-2,9,6,-2,-1,-1,-4
31,60,29,0,1.0,7,37.0,2.0,0,-5,-3,7,5,-2,-1,-1,-5
32,70,35,10,0.25,7,39.0,1.0,0,5,3,5,4,10,6,1,-4
33,70,35,10,0.5,7,40.0,1.5,0,5,3,5,4,0,0,0,-4
34,72,36,0,0.125,7,41.5,0.5,0,7,4,7,5,2,1,1,-3
35,70,35,10,0.25,7,42.0,1.0,0,5,3,5,4,-2,-1,-1,-4
36,69,34,9,1.0,8,43.0,3.0,0,4,2,4,3,-1,-1,-1,-5
37,67,33,7,0.5,8,46.0,2.0,0,2,1,2,2,-2,-1,-1,-6
38,67,33,7,0.25,8,48.0,1.0,0,2,1,2,2,0,0,0,-6
39,65,32,5,1.0,9,49.0,3.0,0,0,0,0,1,-2,-1,-1,-7
40,65,32,5,0.5,9,52.0,2.0,0,0,0,0,1,0,0,0,-7
