,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,67,33,7,0.0,2.0,62,60,28,0,1,0,0,0,0
1,69,34,9,2.0,1.0,66,62,29,2,2,2,1,1,1
2,71,35,11,3.0,1.0,57,64,30,4,3,2,1,1,2
3,72,36,0,4.0,2.0,67,65,31,5,4,1,1,1,3
4,69,34,9,6.0,2.0,61,62,29,2,2,-3,-2,-1,2
5,67,33,7,8.0,1.5,64,60,28,0,1,-2,-1,-1,1
6,67,33,7,9.5,0.5,66,60,28,0,1,0,0,0,1
7,71,35,11,10.0,1.0,60,64,30,4,3,4,2,1,2
8,71,35,11,11.0,1.0,59,64,30,4,3,0,0,0,2
9,69,34,9,12.0,2.0,64,62,29,2,2,-2,-1,-1,1
10,69,34,9,14.0,2.0,60,62,29,2,2,0,0,0,1
11,74,37,2,16.0,2.0,65,67,32,7,5,5,3,1,2
12,74,37,2,18.0,1.0,63,67,32,7,5,0,0,0,2
13,76,38,4,19.0,1.0,56,69,33,9,6,2,1,1,3
14,74,37,2,20.0,3.0,64,67,32,7,5,-2,-1,-1,2
15,72,36,0,23.0,0.5,56,65,31,5,4,-2,-1,-1,1
16,72,36,0,23.5,0.5,61,65,31,5,4,0,0,0,1
17,71,35,11,24.0,1.0,66,64,30,4,3,-1,-1,-1,0
18,74,37,2,25.0,1.0,65,67,32,7,5,3,2,1,1
19,76,38,4,26.0,1.0,61,69,33,9,6,2,1,1,2
20,76,38,4,27.0,1.0,58,69,33,9,6,0,0,0,2
21,74,37,2,28.0,4.0,68,67,32,7,5,-2,-1,-1,1
22,67,33,7,32.0,2.0,71,60,28,0,1,-7,-4,-1,0
23,71,35,11,34.0,1.0,60,64,30,4,3,4,2,1,1
24,74,37,2,35.0,1.0,61,67,32,7,5,3,2,1,2
25,79,40,7,36.0,2.0,63,72,35,0,1,5,3,1,3
26,78,39,6,38.0,2.0,65,71,34,11,7,-1,-1,-1,2
27,76,38,4,40.0,1.0,65,69,33,9,6,-2,-1,-1,1
28,74,37,2,41.0,1.0,60,67,32,7,5,-2,-1,-1,0
29,78,39,6,42.0,1.0,69,71,34,11,7,4,2,1,1
30,78,39,6,43.0,1.0,56,71,34,11,7,0,0,0,1
31,76,38,4,44.0,2.0,65,69,33,9,6,-2,-1,-1,0
32,74,37,2,46.0,2.0,62,67,32,7,5,-2,-1,-1,-1
33,74,37,2,48.0,2.0,64,67,32,7,5,0,0,0,-1
34,74,37,2,50.0,1.0,60,67,32,7,5,0,0,0,-1
35,72,36,0,51.0,1.0,56,65,31,5,4,-2,-1,-1,-2
36,71,35,11,52.0,2.0,64,64,30,4,3,-1,-1,-1,-3
37,67,33,7,54.0,1.5,65,60,28,0,1,-4,-2,-1,-4
38,67,33,7,55.5,0.5,60,60,28,0,1,0,0,0,-4
39,69,34,9,56.0,1.0,67,62,29,2,2,2,1,1,-3
40,72,36,0,57.0,1.0,58,65,31,5,4,3,2,1,-2
41,76,38,4,58.0,1.0,62,69,33,9,6,4,2,1,-1
42,76,38,4,59.0,1.0,65,69,33,9,6,0,0,0,-1
43,74,37,2,60.0,4.0,71,67,32,7,5,-2,-1,-1,-2
44,74,37,2,64.0,2.0,66,67,32,7,5,0,0,0,-2
45,74,37,2,66.0,1.0,62,67,32,7,5,0,0,0,-2
46,72,36,0,67.0,1.0,56,65,31,5,4,-2,-1,-1,-3
47,71,35,11,68.0,2.0,67,64,30,4,3,-1,-1,-1,-4
48,67,33,7,70.0,1.5,61,60,28,0,1,-4,-2,-1,-5
49,67,33,7,71.5,0.5,65,60,28,0,1,0,0,0,-5
50,69,34,9,72.0,1.0,65,62,29,2,2,2,1,1,-4
51,72,36,0,73.0,1.0,62,65,31,5,4,3,2,1,-3
52,71,35,11,74.0,1.0,65,64,30,4,3,-1,-1,-1,-4
53,69,34,9,75.0,1.0,58,62,29,2,2,-2,-1,-1,-5
54,67,33,7,76.0,4.0,67,60,28,0,1,-2,-1,-1,-6
