,midi_note_num,diatonic_note_num,chromatic_pitch_class,beat_strength,bar_num,offset,duration,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,72,36,0,0.0,1,0.0,1.0,0,5,3,5,4,0,0,0,0
1,71,35,11,0.0,1,1.0,1.0,0,4,2,4,3,-1,-1,-1,-1
2,69,34,9,0.0,1,2.0,1.0,0,2,1,2,2,-2,-1,-1,-2
3,67,33,7,0.0,1,3.0,1.0,0,0,0,0,1,-2,-1,-1,-3
4,71,35,11,0.0,1,4.0,1.0,0,4,2,4,3,4,2,1,-2
5,74,37,2,0.0,1,5.0,1.0,0,7,4,7,5,3,2,1,-1
6,76,38,4,0.0,1,6.0,1.0,0,9,5,9,6,2,1,1,0
7,74,37,2,0.0,1,7.0,3.0,0,7,4,7,5,-2,-1,-1,-1
8,74,37,2,0.0,1,10.0,1.0,0,7,4,7,5,0,0,0,-1
9,76,38,4,0.0,1,11.0,1.0,0,9,5,9,6,2,1,1,0
10,74,37,2,0.0,1,12.0,1.0,0,7,4,7,5,-2,-1,-1,-1
11,79,40,7,0.0,1,13.0,2.0,0,12,7,0,1,5,3,1,0
12,78,39,6,0.0,1,15.0,2.0,0,11,6,11,7,-1,-1,-1,-1
13,76,38,4,0.0,1,17.0,2.0,0,9,5,9,6,-2,-1,-1,-2
14,74,37,2,0.0,1,19.0,2.0,0,7,4,7,5,-2,-1,-1,-3
15,74,37,2,0.0,1,21.0,1.0,0,7,4,7,5,0,0,0,-3
16,79,40,7,0.0,1,22.0,0.67,0,12,7,0,1,5,3,1,-2
17,78,39,6,0.0,1,22.67,0.67,0,11,6,11,7,-1,-1,-1,-3
18,76,38,4,0.0,1,23.33,0.67,0,9,5,9,6,-2,-1,-1,-4
19,74,37,2,0.0,1,24.0,0.67,0,7,4,7,5,-2,-1,-1,-5
20,71,35,11,0.0,1,24.67,0.67,0,4,2,4,3,-3,-2,-1,-6
21,76,38,4,0.0,1,25.33,0.67,0,9,5,9,6,5,3,1,-5
22,74,37,2,0.0,1,26.0,2.0,0,7,4,7,5,-2,-1,-1,-6
23,72,36,0,0.0,1,28.0,1.0,0,5,3,5,4,-2,-1,-1,-7
24,71,35,11,0.0,1,29.0,1.0,0,4,2,4,3,-1,-1,-1,-8
25,69,34,9,0.0,1,30.0,4.0,0,2,1,2,2,-2,-1,-1,-9
26,71,35,11,0.0,1,34.0,0.67,0,4,2,4,3,2,1,1,-8
27,74,37,2,0.0,1,34.66,0.67,0,7,4,7,5,3,2,1,-7
28,74,37,2,0.0,1,35.34,0.67,0,7,4,7,5,0,0,0,-7
29,67,33,7,0.0,1,36.0,0.67,0,0,0,0,1,-7,-4,-1,-8
30,72,36,0,0.0,1,36.66,0.67,0,5,3,5,4,5,3,1,-7
31,71,35,11,0.0,1,37.34,0.67,0,4,2,4,3,-1,-1,-1,-8
32,69,34,9,0.0,1,38.0,2.0,0,2,1,2,2,-2,-1,-1,-9
33,67,33,7,0.0,1,40.0,2.0,0,0,0,0,1,-2,-1,-1,-10
