,midi_note_num,diatonic_note_num,chromatic_pitch_class,beat_strength,bar_num,offset,duration,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,67,33,7,0.25,0,0.0,2.0,0,0,0,0,1,0,0,0,0
1,74,37,2,1.0,1,2.0,2.0,0,7,4,7,5,7,4,1,1
2,74,37,2,0.25,1,4.0,2.0,0,7,4,7,5,0,0,0,1
3,74,37,2,0.5,1,6.0,2.0,0,7,4,7,5,0,0,0,1
4,72,36,0,0.25,1,8.0,1.0,0,5,3,5,4,-2,-1,-1,0
5,72,36,0,0.125,1,9.0,1.0,0,5,3,5,4,0,0,0,0
6,71,35,11,1.0,2,10.0,2.0,0,4,2,4,3,-1,-1,-1,-1
7,69,34,9,0.25,2,12.0,2.0,0,2,1,2,2,-2,-1,-1,-2
8,67,33,7,0.5,2,14.0,3.0,0,0,0,0,1,-2,-1,-1,-3
9,67,33,7,0.0,2,17.0,1.0,0,0,0,0,1,0,0,0,-3
10,67,33,7,0.0,2,18.0,1.0,0,0,0,0,1,0,0,0,-3
11,79,40,7,0.25,3,19.0,1.0,0,12,7,0,1,12,7,1,-2
12,79,40,7,0.5,3,20.0,1.0,0,12,7,0,1,0,0,0,-2
13,79,40,7,0.25,3,21.0,1.0,0,12,7,0,1,0,0,0,-2
14,81,41,9,1.0,4,22.0,2.0,0,14,8,2,2,2,1,1,-1
15,79,40,7,0.25,4,24.0,1.0,0,12,7,0,1,-2,-1,-1,-2
16,79,40,7,0.125,4,25.0,1.0,0,12,7,0,1,0,0,0,-2
17,78,39,6,0.5,4,26.0,2.0,0,11,6,11,7,-1,-1,-1,-3
18,76,38,4,0.25,4,28.0,2.0,0,9,5,9,6,-2,-1,-1,-4
19,76,38,4,1.0,5,30.0,2.0,0,9,5,9,6,0,0,0,-4
20,74,37,2,0.25,5,32.0,2.0,0,7,4,7,5,-2,-1,-1,-5
21,74,37,2,0.5,5,34.0,2.0,0,7,4,7,5,0,0,0,-5
22,74,37,2,0.25,5,36.0,2.0,0,7,4,7,5,0,0,0,-5
23,79,40,7,1.0,6,38.0,2.0,0,12,7,0,1,5,3,1,-4
24,74,37,2,0.25,6,40.0,2.0,0,7,4,7,5,-5,-3,-1,-5
25,76,38,4,0.5,6,42.0,1.0,0,9,5,9,6,2,1,1,-4
26,78,39,6,0.125,6,43.0,1.0,0,11,6,11,7,2,1,1,-3
27,79,40,7,0.25,6,44.0,1.0,0,12,7,0,1,1,1,1,-2
28,76,38,4,0.125,6,45.0,1.0,0,9,5,9,6,-3,-2,-1,-3
29,74,37,2,1.0,7,46.0,4.0,0,7,4,7,5,-2,-1,-1,-4
30,71,35,11,0.5,7,50.0,3.0,0,4,2,4,3,-3,-2,-1,-5
31,71,35,11,0.125,7,53.0,1.0,0,4,2,4,3,0,0,0,-5
32,72,36,0,1.0,8,54.0,1.0,0,5,3,5,4,1,1,1,-4
33,71,35,11,0.125,8,55.0,1.0,0,4,2,4,3,-1,-1,-1,-5
34,72,36,0,0.25,8,56.0,1.0,0,5,3,5,4,1,1,1,-4
35,74,37,2,0.125,8,57.0,1.0,0,7,4,7,5,2,1,1,-3
36,76,38,4,0.5,8,58.0,1.0,0,9,5,9,6,2,1,1,-2
37,78,39,6,0.125,8,59.0,1.0,0,11,6,11,7,2,1,1,-1
38,79,40,7,0.25,8,60.0,1.0,0,12,7,0,1,1,1,1,0
39,72,36,0,0.125,8,61.0,1.0,0,5,3,5,4,-7,-4,-1,-1
40,71,35,11,1.0,9,62.0,2.0,0,4,2,4,3,-1,-1,-1,-2
41,69,34,9,0.25,9,64.0,2.0,0,2,1,2,2,-2,-1,-1,-3
42,74,37,2,0.5,9,66.0,2.0,0,7,4,7,5,5,3,1,-2
43,74,37,2,0.25,9,68.0,2.0,0,7,4,7,5,0,0,0,-2
44,79,40,7,1.0,10,70.0,2.0,0,12,7,0,1,5,3,1,-1
45,74,37,2,0.25,10,72.0,2.0,0,7,4,7,5,-5,-3,-1,-2
46,76,38,4,0.5,10,74.0,1.0,0,9,5,9,6,2,1,1,-1
47,78,39,6,0.125,10,75.0,1.0,0,11,6,11,7,2,1,1,0
48,79,40,7,0.25,10,76.0,1.0,0,12,7,0,1,1,1,1,1
49,76,38,4,0.125,10,77.0,1.0,0,9,5,9,6,-3,-2,-1,0
50,74,37,2,1.0,11,78.0,4.0,0,7,4,7,5,-2,-1,-1,-1
51,71,35,11,0.5,11,82.0,3.0,0,4,2,4,3,-3,-2,-1,-2
52,74,37,2,0.125,11,85.0,1.0,0,7,4,7,5,3,2,1,-1
53,72,36,0,1.0,12,86.0,1.0,0,5,3,5,4,-2,-1,-1,-2
54,71,35,11,0.125,12,87.0,1.0,0,4,2,4,3,-1,-1,-1,-3
55,72,36,0,0.25,12,88.0,1.0,0,5,3,5,4,1,1,1,-2
56,74,37,2,0.125,12,89.0,1.0,0,7,4,7,5,2,1,1,-1
57,76,38,4,0.5,12,90.0,1.0,0,9,5,9,6,2,1,1,0
58,78,39,6,0.125,12,91.0,1.0,0,11,6,11,7,2,1,1,1
59,79,40,7,0.25,12,92.0,1.0,0,12,7,0,1,1,1,1,2
60,72,36,0,0.125,12,93.0,1.0,0,5,3,5,4,-7,-4,-1,1
61,71,35,11,1.0,13,94.0,2.0,0,4,2,4,3,-1,-1,-1,0
62,69,34,9,0.25,13,96.0,2.0,0,2,1,2,2,-2,-1,-1,-1
63,67,33,7,0.5,13,98.0,2.0,0,0,0,0,1,-2,-1,-1,-2
