,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,72,36,0,0.0,2.0,66,65,31,5,4,0,0,0,0
1,71,35,11,2.0,3.0,69,64,30,4,3,-1,-1,-1,-1
2,69,34,9,5.0,1.0,59,62,29,2,2,-2,-1,-1,-2
3,67,33,7,6.0,1.0,59,60,28,0,1,-2,-1,-1,-3
4,66,32,6,7.0,1.0,66,59,27,11,7,-1,-1,-1,-4
5,67,33,7,8.0,1.0,66,60,28,0,1,1,1,1,-3
6,69,34,9,9.0,1.0,63,62,29,2,2,2,1,1,-2
7,71,35,11,10.0,2.0,65,64,30,4,3,2,1,1,-1
8,71,35,11,12.0,2.0,61,64,30,4,3,0,0,0,-1
9,69,34,9,14.0,2.0,63,62,29,2,2,-2,-1,-1,-2
10,72,36,0,16.0,1.0,65,65,31,5,4,3,2,1,-1
11,71,35,11,17.0,1.0,62,64,30,4,3,-1,-1,-1,-2
12,69,34,9,18.0,2.0,59,62,29,2,2,-2,-1,-1,-3
13,71,35,11,20.0,4.0,69,64,30,4,3,2,1,1,-2
14,74,37,2,24.0,1.0,56,67,32,7,5,3,2,1,-1
15,74,37,2,25.0,1.0,56,67,32,7,5,0,0,0,-1
16,67,33,7,26.0,1.0,64,60,28,0,1,-7,-4,-1,-2
17,71,35,11,27.0,1.0,58,64,30,4,3,4,2,1,-1
18,74,37,2,28.0,2.0,63,67,32,7,5,3,2,1,0
19,76,38,4,30.0,1.0,57,69,33,9,6,2,1,1,1
20,74,37,2,31.0,1.0,59,67,32,7,5,-2,-1,-1,0
21,69,34,9,32.0,2.0,64,62,29,2,2,-5,-3,-1,-1
22,67,33,7,34.0,1.0,56,60,28,0,1,-2,-1,-1,-2
23,67,33,7,35.0,1.0,57,60,28,0,1,0,0,0,-2
24,69,34,9,36.0,1.0,64,62,29,2,2,2,1,1,-1
25,72,36,0,37.0,1.0,64,65,31,5,4,3,2,1,0
26,71,35,11,38.0,2.0,64,64,30,4,3,-1,-1,-1,-1
27,74,37,2,40.0,2.0,62,67,32,7,5,3,2,1,0
28,67,33,7,42.0,2.0,64,60,28,0,1,-7,-4,-1,-1
29,69,34,9,44.0,2.0,63,62,29,2,2,2,1,1,0
30,72,36,0,46.0,2.0,62,65,31,5,4,3,2,1,1
31,71,35,11,48.0,2.0,60,64,30,4,3,-1,-1,-1,0
32,67,33,7,50.0,4.0,64,60,28,0,1,-4,-2,-1,-1
