,midi_note_num,diatonic_note_num,chromatic_pitch_class,beat_strength,bar_num,offset,duration,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,67,33,7,0.125,0,0.0,1.0,0,0,0,0,1,0,0,0,0
1,71,35,11,1.0,1,1.0,3.0,0,4,2,4,3,4,2,1,1
2,69,34,9,0.125,1,4.0,1.0,0,2,1,2,2,-2,-1,-1,0
3,71,35,11,0.5,1,5.0,3.0,0,4,2,4,3,2,1,1,1
4,69,34,9,0.125,1,8.0,1.0,0,2,1,2,2,-2,-1,-1,0
5,67,33,7,1.0,2,9.0,6.0,0,0,0,0,1,-2,-1,-1,-1
6,62,30,2,0.25,2,15.0,1.0,0,-5,-3,7,5,-5,-3,-1,-2
7,67,33,7,0.125,2,16.0,1.0,0,0,0,0,1,5,3,1,-1
8,67,33,7,1.0,3,17.0,2.0,0,0,0,0,1,0,0,0,-1
9,67,33,7,0.25,3,19.0,1.0,0,0,0,0,1,0,0,0,-1
10,71,35,11,0.125,3,20.0,1.0,0,4,2,4,3,4,2,1,0
11,74,37,2,0.5,3,21.0,3.0,0,7,4,7,5,3,2,1,1
12,76,38,4,0.125,3,24.0,1.0,0,9,5,9,6,2,1,1,2
13,74,37,2,1.0,4,25.0,2.0,0,7,4,7,5,-2,-1,-1,1
14,69,34,9,0.25,4,27.0,2.0,0,2,1,2,2,-5,-3,-1,0
15,69,34,9,0.0,4,29.0,2.0,0,2,1,2,2,0,0,0,0
16,69,34,9,0.25,4,31.0,2.0,0,2,1,2,2,0,0,0,0
17,71,35,11,1.0,5,33.0,2.0,0,4,2,4,3,2,1,1,1
18,74,37,2,0.25,5,35.0,2.0,0,7,4,7,5,3,2,1,2
19,72,36,0,0.5,5,37.0,2.0,0,5,3,5,4,-2,-1,-1,1
20,71,35,11,0.25,5,39.0,2.0,0,4,2,4,3,-1,-1,-1,0
21,69,34,9,1.0,6,41.0,2.0,0,2,1,2,2,-2,-1,-1,-1
22,71,35,11,0.25,6,43.0,1.0,0,4,2,4,3,2,1,1,0
23,72,36,0,0.125,6,44.0,1.0,0,5,3,5,4,1,1,1,1
24,71,35,11,0.5,6,45.0,2.0,0,4,2,4,3,-1,-1,-1,0
25,69,34,9,0.25,6,47.0,2.0,0,2,1,2,2,-2,-1,-1,-1
26,67,33,7,1.0,7,49.0,3.0,0,0,0,0,1,-2,-1,-1,-2
27,71,35,11,0.125,7,52.0,1.0,0,4,2,4,3,4,2,1,-1
28,74,37,2,0.5,7,53.0,3.0,0,7,4,7,5,3,2,1,0
29,76,38,4,0.125,7,56.0,1.0,0,9,5,9,6,2,1,1,1
30,74,37,2,1.0,8,57.0,2.0,0,7,4,7,5,-2,-1,-1,0
31,69,34,9,0.25,8,59.0,2.0,0,2,1,2,2,-5,-3,-1,-1
32,69,34,9,0.0,8,61.0,2.0,0,2,1,2,2,0,0,0,-1
33,69,34,9,0.25,8,63.0,2.0,0,2,1,2,2,0,0,0,-1
34,71,35,11,1.0,9,65.0,2.0,0,4,2,4,3,2,1,1,0
35,74,37,2,0.25,9,67.0,2.0,0,7,4,7,5,3,2,1,1
36,71,35,11,0.5,9,69.0,2.0,0,4,2,4,3,-3,-2,-1,0
37,69,34,9,0.25,9,71.0,2.0,0,2,1,2,2,-2,-1,-1,-1
38,67,33,7,1.0,10,73.0,2.0,0,0,0,0,1,-2,-1,-1,-2
39,71,35,11,0.25,10,75.0,2.0,0,4,2,4,3,4,2,1,-1
40,69,34,9,0.5,10,77.0,2.0,0,2,1,2,2,-2,-1,-1,-2
41,67,33,7,0.25,10,79.0,2.0,0,0,0,0,1,-2,-1,-1,-3
42,66,32,6,1.0,11,81.0,3.0,0,-1,-1,11,7,-1,-1,-1,-4
43,69,34,9,0.125,11,84.0,1.0,0,2,1,2,2,3,2,1,-3
44,74,37,2,0.5,11,85.0,3.0,0,7,4,7,5,5,3,1,-2
45,76,38,4,0.125,11,88.0,1.0,0,9,5,9,6,2,1,1,-1
46,74,37,2,1.0,12,89.0,6.0,0,7,4,7,5,-2,-1,-1,-2
47,74,37,2,0.25,12,95.0,2.0,0,7,4,7,5,0,0,0,-2
48,76,38,4,1.0,13,97.0,3.0,0,9,5,9,6,2,1,1,-1
49,71,35,11,0.125,13,100.0,1.0,0,4,2,4,3,-5,-3,-1,-2
50,76,38,4,0.5,13,101.0,2.0,0,9,5,9,6,5,3,1,-1
51,74,37,2,0.25,13,103.0,2.0,0,7,4,7,5,-2,-1,-1,-2
52,67,33,7,1.0,14,105.0,2.0,0,0,0,0,1,-7,-4,-1,-3
53,71,35,11,0.25,14,107.0,2.0,0,4,2,4,3,4,2,1,-2
54,74,37,2,0.5,14,109.0,3.0,0,7,4,7,5,3,2,1,-1
55,76,38,4,0.125,14,112.0,1.0,0,9,5,9,6,2,1,1,0
56,74,37,2,1.0,15,113.0,2.0,0,7,4,7,5,-2,-1,-1,-1
57,69,34,9,0.25,15,115.0,2.0,0,2,1,2,2,-5,-3,-1,-2
58,72,36,0,0.5,15,117.0,2.0,0,5,3,5,4,3,2,1,-1
59,71,35,11,0.25,15,119.0,2.0,0,4,2,4,3,-1,-1,-1,-2
60,67,33,7,1.0,16,121.0,6.0,0,0,0,0,1,-4,-2,-1,-3
