,midi_note_num,diatonic_note_num,chromatic_pitch_class,beat_strength,bar_num,offset,duration,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,74,37,2,1.0,1,0.0,1.0,0,7,4,7,5,0,0,0,0
1,76,38,4,0.25,1,1.0,1.0,0,9,5,9,6,2,1,1,1
2,78,39,6,0.25,1,2.0,1.0,0,11,6,11,7,2,1,1,2
3,79,40,7,0.5,1,3.0,1.0,0,12,7,0,1,1,1,1,3
4,78,39,6,0.25,1,4.0,1.0,0,11,6,11,7,-1,-1,-1,2
5,76,38,4,0.25,1,5.0,1.0,0,9,5,9,6,-2,-1,-1,1
6,76,38,4,1.0,2,6.0,1.0,0,9,5,9,6,0,0,0,1
7,74,37,2,0.25,2,7.0,1.0,0,7,4,7,5,-2,-1,-1,0
8,74,37,2,0.25,2,8.0,1.0,0,7,4,7,5,0,0,0,0
9,76,38,4,0.5,2,9.0,1.0,0,9,5,9,6,2,1,1,1
10,74,37,2,0.25,2,10.0,1.0,0,7,4,7,5,-2,-1,-1,0
11,74,37,2,0.25,2,11.0,1.0,0,7,4,7,5,0,0,0,0
12,79,40,7,1.0,3,12.0,1.0,0,12,7,0,1,5,3,1,1
13,78,39,6,0.25,3,13.0,1.0,0,11,6,11,7,-1,-1,-1,0
14,79,40,7,0.25,3,14.0,1.0,0,12,7,0,1,1,1,1,1
15,74,37,2,0.5,3,15.0,1.0,0,7,4,7,5,-5,-3,-1,0
16,76,38,4,0.25,3,16.0,1.0,0,9,5,9,6,2,1,1,1
17,74,37,2,0.25,3,17.0,1.0,0,7,4,7,5,-2,-1,-1,0
18,72,36,0,1.0,4,18.0,1.0,0,5,3,5,4,-2,-1,-1,-1
19,76,38,4,0.25,4,19.0,1.0,0,9,5,9,6,4,2,1,0
20,72,36,0,0.25,4,20.0,1.0,0,5,3,5,4,-4,-2,-1,-1
21,71,35,11,0.5,4,21.0,3.0,0,4,2,4,3,-1,-1,-1,-2
22,67,33,7,1.0,5,24.0,1.0,0,0,0,0,1,-4,-2,-1,-3
23,71,35,11,0.25,5,25.0,1.0,0,4,2,4,3,4,2,1,-2
24,74,37,2,0.25,5,26.0,1.0,0,7,4,7,5,3,2,1,-1
25,83,42,11,0.5,5,27.0,2.0,0,16,9,4,3,9,5,1,0
26,83,42,11,0.25,5,29.0,1.0,0,16,9,4,3,0,0,0,0
27,81,41,9,1.0,6,30.0,2.0,0,14,8,2,2,-2,-1,-1,-1
28,81,41,9,0.25,6,32.0,1.0,0,14,8,2,2,0,0,0,-1
29,83,42,11,0.5,6,33.0,2.0,0,16,9,4,3,2,1,1,0
30,86,44,2,0.25,6,35.0,1.0,0,19,11,7,5,3,2,1,1
31,84,43,0,1.0,7,36.0,1.0,0,17,10,5,4,-2,-1,-1,0
32,83,42,11,0.25,7,37.0,1.0,0,16,9,4,3,-1,-1,-1,-1
33,81,41,9,0.25,7,38.0,1.0,0,14,8,2,2,-2,-1,-1,-2
34,79,40,7,0.5,7,39.0,1.5,0,12,7,0,1,-2,-1,-1,-3
35,79,40,7,0.125,7,40.5,0.5,0,12,7,0,1,0,0,0,-3
36,79,40,7,0.25,7,41.0,1.0,0,12,7,0,1,0,0,0,-3
37,74,37,2,1.0,8,42.0,1.0,0,7,4,7,5,-5,-3,-1,-4
38,76,38,4,0.25,8,43.0,1.0,0,9,5,9,6,2,1,1,-3
39,78,39,6,0.25,8,44.0,1.0,0,11,6,11,7,2,1,1,-2
40,79,40,7,0.5,8,45.0,3.0,0,12,7,0,1,1,1,1,-1
