,midi_note_num,diatonic_note_num,chromatic_pitch_class,beat_strength,bar_num,offset,duration,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,74,37,2,0.25,0,0.0,2.0,0,7,4,7,5,0,0,0,0
1,67,33,7,1.0,1,2.0,2.0,0,0,0,0,1,-7,-4,-1,-1
2,71,35,11,0.25,1,4.0,2.0,0,4,2,4,3,4,2,1,0
3,74,37,2,0.25,1,6.0,2.0,0,7,4,7,5,3,2,1,1
4,79,40,7,0.5,1,8.0,4.0,0,12,7,0,1,5,3,1,2
5,79,40,7,0.25,1,12.0,2.0,0,12,7,0,1,0,0,0,2
6,78,39,6,1.0,2,14.0,2.0,0,11,6,11,7,-1,-1,-1,1
7,76,38,4,0.25,2,16.0,4.0,0,9,5,9,6,-2,-1,-1,0
8,76,38,4,0.5,2,20.0,4.0,0,9,5,9,6,0,0,0,0
9,69,34,9,0.25,2,24.0,2.0,0,2,1,2,2,-7,-4,-1,-1
10,71,35,11,1.0,3,26.0,4.0,0,4,2,4,3,2,1,1,0
11,79,40,7,0.25,3,30.0,2.0,0,12,7,0,1,8,5,1,1
12,78,39,6,0.5,3,32.0,4.0,0,11,6,11,7,-1,-1,-1,0
13,76,38,4,0.25,3,36.0,2.0,0,9,5,9,6,-2,-1,-1,-1
14,74,37,2,1.0,4,38.0,6.0,0,7,4,7,5,-2,-1,-1,-2
15,74,37,2,0.5,4,44.0,4.0,0,7,4,7,5,0,0,0,-2
16,74,37,2,0.25,4,48.0,2.0,0,7,4,7,5,0,0,0,-2
17,67,33,7,1.0,5,50.0,2.0,0,0,0,0,1,-7,-4,-1,-3
18,71,35,11,0.25,5,52.0,2.0,0,4,2,4,3,4,2,1,-2
19,74,37,2,0.25,5,54.0,2.0,0,7,4,7,5,3,2,1,-1
20,79,40,7,0.5,5,56.0,4.0,0,12,7,0,1,5,3,1,0
21,79,40,7,0.25,5,60.0,2.0,0,12,7,0,1,0,0,0,0
22,81,41,9,1.0,6,62.0,4.0,0,14,8,2,2,2,1,1,1
23,79,40,7,0.25,6,66.0,2.0,0,12,7,0,1,-2,-1,-1,0
24,76,38,4,0.5,6,68.0,4.0,0,9,5,9,6,-3,-2,-1,-1
25,79,40,7,0.25,6,72.0,2.0,0,12,7,0,1,3,2,1,0
26,78,39,6,1.0,7,74.0,4.0,0,11,6,11,7,-1,-1,-1,-1
27,76,38,4,0.25,7,78.0,2.0,0,9,5,9,6,-2,-1,-1,-2
28,74,37,2,0.5,7,80.0,2.0,0,7,4,7,5,-2,-1,-1,-3
29,76,38,4,0.25,7,82.0,2.0,0,9,5,9,6,2,1,1,-2
30,78,39,6,0.25,7,84.0,2.0,0,11,6,11,7,2,1,1,-1
31,79,40,7,1.0,8,86.0,6.0,0,12,7,0,1,1,1,1,0
32,79,40,7,0.5,8,92.0,4.0,0,12,7,0,1,0,0,0,0
