,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,62,30,2,0.0,1.0,63,55,25,7,5,0,0,0,0
1,66,32,6,1.0,1.0,59,59,27,11,7,4,2,1,1
2,69,34,9,2.0,2.0,68,62,29,2,2,3,2,1,2
3,74,37,2,4.0,2.0,66,67,32,7,5,5,3,1,3
4,73,36,1,6.0,1.0,63,66,31,6,4,-1,-1,-1,2
5,71,35,11,7.0,1.0,65,64,30,4,3,-2,-1,-1,1
6,69,34,9,8.0,2.0,72,62,29,2,2,-2,-1,-1,0
7,74,37,2,10.0,2.0,64,67,32,7,5,5,3,1,1
8,69,34,9,12.0,1.0,60,62,29,2,2,-5,-3,-1,0
9,71,35,11,13.0,1.0,56,64,30,4,3,2,1,1,1
10,73,36,1,14.0,3.0,72,66,31,6,4,2,1,1,2
11,71,35,11,17.0,1.0,56,64,30,4,3,-2,-1,-1,1
12,69,34,9,18.0,1.0,60,62,29,2,2,-2,-1,-1,0
13,67,33,7,19.0,1.0,61,60,28,0,1,-2,-1,-1,-1
14,66,32,6,20.0,2.0,68,59,27,11,7,-1,-1,-1,-2
15,69,34,9,24.0,1.0,62,62,29,2,2,3,2,1,-1
16,69,34,9,25.0,1.0,60,62,29,2,2,0,0,0,-1
17,73,36,1,26.0,3.0,70,66,31,6,4,4,2,1,0
18,71,35,11,29.0,1.0,58,64,30,4,3,-2,-1,-1,-1
19,67,33,7,30.0,1.0,56,60,28,0,1,-4,-2,-1,-2
20,71,35,11,31.0,1.0,60,64,30,4,3,4,2,1,-1
21,71,35,11,32.0,2.0,63,64,30,4,3,0,0,0,-1
22,69,34,9,34.0,2.0,59,62,29,2,2,-2,-1,-1,-2
23,66,32,6,36.0,1.0,66,59,27,11,7,-3,-2,-1,-3
24,62,30,2,37.0,1.0,65,55,25,7,5,-4,-2,-1,-4
25,69,34,9,38.0,3.0,70,62,29,2,2,7,4,1,-3
26,67,33,7,41.0,1.0,60,60,28,0,1,-2,-1,-1,-4
27,66,32,6,42.0,1.0,58,59,27,11,7,-1,-1,-1,-5
28,64,31,4,43.0,1.0,58,57,26,9,6,-2,-1,-1,-6
29,62,30,2,44.0,2.0,65,55,25,7,5,-2,-1,-1,-7
