,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,62,30,2,0.0,1.0,58,55,25,7,5,0,0,0,0
1,67,33,7,1.0,2.0,65,60,28,0,1,5,3,1,1
2,71,35,11,3.0,1.0,64,64,30,4,3,4,2,1,2
3,71,35,11,4.0,1.0,58,64,30,4,3,0,0,0,2
4,69,34,9,5.0,1.0,56,62,29,2,2,-2,-1,-1,1
5,67,33,7,6.0,1.0,59,60,28,0,1,-2,-1,-1,0
6,69,34,9,7.0,2.0,71,62,29,2,2,2,1,1,1
7,76,38,4,9.0,1.0,66,69,33,9,6,7,4,1,2
8,74,37,2,10.0,1.0,60,67,32,7,5,-2,-1,-1,1
9,72,36,0,11.0,1.0,60,65,31,5,4,-2,-1,-1,0
10,69,34,9,12.0,1.0,63,62,29,2,2,-3,-2,-1,-1
11,67,33,7,13.0,5.0,71,60,28,0,1,-2,-1,-1,-2
12,62,30,2,18.0,1.0,65,55,25,7,5,-5,-3,-1,-3
13,67,33,7,19.0,2.0,65,60,28,0,1,5,3,1,-2
14,71,35,11,21.0,1.0,57,64,30,4,3,4,2,1,-1
15,71,35,11,22.0,1.0,62,64,30,4,3,0,0,0,-1
16,69,34,9,23.0,1.0,61,62,29,2,2,-2,-1,-1,-2
17,67,33,7,24.0,1.0,58,60,28,0,1,-2,-1,-1,-3
18,69,34,9,25.0,2.0,68,62,29,2,2,2,1,1,-2
19,76,38,4,27.0,1.0,60,69,33,9,6,7,4,1,-1
20,74,37,2,28.0,1.0,60,67,32,7,5,-2,-1,-1,-2
21,72,36,0,29.0,1.0,56,65,31,5,4,-2,-1,-1,-3
22,69,34,9,30.0,1.0,56,62,29,2,2,-3,-2,-1,-4
23,67,33,7,31.0,5.0,66,60,28,0,1,-2,-1,-1,-5
24,74,37,2,36.0,1.0,61,67,32,7,5,7,4,1,-4
25,74,37,2,37.0,2.0,68,67,32,7,5,0,0,0,-4
26,74,37,2,39.0,1.0,63,67,32,7,5,0,0,0,-4
27,74,37,2,40.0,2.0,58,67,32,7,5,0,0,0,-4
28,74,37,2,42.0,1.0,64,67,32,7,5,0,0,0,-4
29,76,38,4,43.0,2.0,64,69,33,9,6,2,1,1,-3
30,74,37,2,45.0,1.0,56,67,32,7,5,-2,-1,-1,-4
31,71,35,11,46.0,2.0,62,64,30,4,3,-3,-2,-1,-5
32,71,35,11,48.0,1.0,56,64,30,4,3,0,0,0,-5
33,69,34,9,49.0,2.0,67,62,29,2,2,-2,-1,-1,-6
34,69,34,9,51.0,1.0,63,62,29,2,2,0,0,0,-6
35,69,34,9,52.0,1.0,61,62,29,2,2,0,0,0,-6
36,71,35,11,53.0,1.0,64,64,30,4,3,2,1,1,-5
37,72,36,0,54.0,1.0,64,65,31,5,4,1,1,1,-4
38,74,37,2,55.0,2.0,62,67,32,7,5,2,1,1,-3
39,76,38,4,57.0,1.0,57,69,33,9,6,2,1,1,-2
40,74,37,2,58.0,1.0,65,67,32,7,5,-2,-1,-1,-3
41,72,36,0,59.0,1.0,59,65,31,5,4,-2,-1,-1,-4
42,69,34,9,60.0,1.0,66,62,29,2,2,-3,-2,-1,-5
43,71,35,11,61.0,5.0,71,64,30,4,3,2,1,1,-4
44,74,37,2,66.0,1.0,59,67,32,7,5,3,2,1,-3
45,74,37,2,67.0,2.0,66,67,32,7,5,0,0,0,-3
46,74,37,2,69.0,1.0,56,67,32,7,5,0,0,0,-3
47,74,37,2,70.0,2.0,58,67,32,7,5,0,0,0,-3
48,74,37,2,72.0,1.0,61,67,32,7,5,0,0,0,-3
49,76,38,4,73.0,2.0,64,69,33,9,6,2,1,1,-2
50,74,37,2,75.0,1.0,60,67,32,7,5,-2,-1,-1,-3
51,71,35,11,76.0,2.0,60,64,30,4,3,-3,-2,-1,-4
52,71,35,11,78.0,1.0,63,64,30,4,3,0,0,0,-4
53,69,34,9,79.0,2.0,71,62,29,2,2,-2,-1,-1,-5
54,69,34,9,81.0,1.0,62,62,29,2,2,0,0,0,-5
55,69,34,9,82.0,1.0,60,62,29,2,2,0,0,0,-5
56,71,35,11,83.0,1.0,58,64,30,4,3,2,1,1,-4
57,72,36,0,84.0,1.0,64,65,31,5,4,1,1,1,-3
58,74,37,2,85.0,2.0,66,67,32,7,5,2,1,1,-2
59,76,38,4,87.0,1.0,62,69,33,9,6,2,1,1,-1
60,74,37,2,88.0,1.0,64,67,32,7,5,-2,-1,-1,-2
61,72,36,0,89.0,1.0,60,65,31,5,4,-2,-1,-1,-3
62,69,34,9,90.0,1.0,58,62,29,2,2,-3,-2,-1,-4
63,67,33,7,91.0,5.0,71,60,28,0,1,-2,-1,-1,-5
