,midi_note_num,diatonic_note_num,chromatic_pitch_class,beat_strength,bar_num,offset,duration,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,62,30,2,0.5,0,0.0,2.0,0,0,0,0,1,0,0,0,0
1,62,30,2,1.0,1,2.0,2.0,0,0,0,0,1,0,0,0,0
2,66,32,6,0.5,1,4.0,2.0,0,4,2,4,3,4,2,1,1
3,69,34,9,0.5,1,6.0,2.0,0,7,4,7,5,3,2,1,2
4,74,37,2,1.0,2,8.0,4.0,0,12,7,0,1,5,3,1,3
5,69,34,9,0.5,2,12.0,2.0,0,7,4,7,5,-5,-3,-1,2
6,69,34,9,1.0,3,14.0,2.0,0,7,4,7,5,0,0,0,2
7,67,33,7,0.5,3,16.0,2.0,0,5,3,5,4,-2,-1,-1,1
8,64,31,4,0.5,3,18.0,2.0,0,2,1,2,2,-3,-2,-1,0
9,67,33,7,1.0,4,20.0,2.0,0,5,3,5,4,3,2,1,1
10,66,32,6,0.5,4,22.0,2.0,0,4,2,4,3,-1,-1,-1,0
11,62,30,2,0.5,4,24.0,2.0,0,0,0,0,1,-4,-2,-1,-1
12,62,30,2,1.0,5,26.0,2.0,0,0,0,0,1,0,0,0,-1
13,66,32,6,0.5,5,28.0,2.0,0,4,2,4,3,4,2,1,0
14,69,34,9,0.5,5,30.0,2.0,0,7,4,7,5,3,2,1,1
15,74,37,2,1.0,6,32.0,4.0,0,12,7,0,1,5,3,1,2
16,69,34,9,0.5,6,36.0,2.0,0,7,4,7,5,-5,-3,-1,1
17,69,34,9,1.0,7,38.0,2.0,0,7,4,7,5,0,0,0,1
18,67,33,7,0.5,7,40.0,2.0,0,5,3,5,4,-2,-1,-1,0
19,64,31,4,0.5,7,42.0,2.0,0,2,1,2,2,-3,-2,-1,-1
20,67,33,7,1.0,8,44.0,2.0,0,5,3,5,4,3,2,1,0
21,66,32,6,0.5,8,46.0,2.0,0,4,2,4,3,-1,-1,-1,-1
22,69,34,9,0.5,8,48.0,2.0,0,7,4,7,5,3,2,1,0
23,71,35,11,1.0,9,50.0,2.0,0,9,5,9,6,2,1,1,1
24,71,35,11,0.5,9,52.0,2.0,0,9,5,9,6,0,0,0,1
25,69,34,9,0.5,9,54.0,2.0,0,7,4,7,5,-2,-1,-1,0
26,71,35,11,1.0,10,56.0,2.0,0,9,5,9,6,2,1,1,1
27,71,35,11,0.5,10,58.0,2.0,0,9,5,9,6,0,0,0,1
28,69,34,9,0.5,10,60.0,2.0,0,7,4,7,5,-2,-1,-1,0
29,71,35,11,1.0,11,62.0,2.0,0,9,5,9,6,2,1,1,1
30,71,35,11,0.5,11,64.0,2.0,0,9,5,9,6,0,0,0,1
31,73,36,1,0.5,11,66.0,2.0,0,11,6,11,7,2,1,1,2
32,74,37,2,1.0,12,68.0,4.0,0,12,7,0,1,1,1,1,3
33,69,34,9,0.5,12,72.0,2.0,0,7,4,7,5,-5,-3,-1,2
34,74,37,2,1.0,13,74.0,2.0,0,12,7,0,1,5,3,1,3
35,73,36,1,0.5,13,76.0,2.0,0,11,6,11,7,-1,-1,-1,2
36,71,35,11,0.5,13,78.0,2.0,0,9,5,9,6,-2,-1,-1,1
37,69,34,9,1.0,14,80.0,2.0,0,7,4,7,5,-2,-1,-1,0
38,74,37,2,0.5,14,82.0,3.0,0,12,7,0,1,5,3,1,1
39,66,32,6,0.25,14,85.0,1.0,0,4,2,4,3,-8,-5,-1,0
40,69,34,9,1.0,15,86.0,2.0,0,7,4,7,5,3,2,1,1
41,67,33,7,0.5,15,88.0,2.0,0,5,3,5,4,-2,-1,-1,0
42,64,31,4,0.5,15,90.0,2.0,0,2,1,2,2,-3,-2,-1,-1
43,62,30,2,1.0,16,92.0,4.0,0,0,0,0,1,-2,-1,-1,-2
44,69,34,9,0.5,16,96.0,2.0,0,7,4,7,5,7,4,1,-1
45,74,37,2,1.0,17,98.0,2.0,0,12,7,0,1,5,3,1,0
46,73,36,1,0.5,17,100.0,2.0,0,11,6,11,7,-1,-1,-1,-1
47,71,35,11,0.5,17,102.0,2.0,0,9,5,9,6,-2,-1,-1,-2
48,69,34,9,1.0,18,104.0,2.0,0,7,4,7,5,-2,-1,-1,-3
49,74,37,2,0.5,18,106.0,3.0,0,12,7,0,1,5,3,1,-2
50,66,32,6,0.25,18,109.0,1.0,0,4,2,4,3,-8,-5,-1,-3
51,69,34,9,1.0,19,110.0,2.0,0,7,4,7,5,3,2,1,-2
52,67,33,7,0.5,19,112.0,2.0,0,5,3,5,4,-2,-1,-1,-3
53,64,31,4,0.5,19,114.0,2.0,0,2,1,2,2,-3,-2,-1,-4
54,62,30,2,1.0,20,116.0,4.0,0,0,0,0,1,-2,-1,-1,-5
