,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,62,30,2,0.0,2.0,61,55,25,7,5,0,0,0,0
1,67,33,7,2.0,2.0,67,60,28,0,1,5,3,1,1
2,71,35,11,4.0,1.5,66,64,30,4,3,4,2,1,2
3,67,33,7,5.5,0.5,64,60,28,0,1,-4,-2,-1,1
4,67,33,7,6.0,1.0,57,60,28,0,1,0,0,0,1
5,66,32,6,7.0,1.0,56,59,27,11,7,-1,-1,-1,0
6,64,31,4,8.0,2.0,67,57,26,9,6,-2,-1,-1,-1
7,66,32,6,10.0,2.0,56,59,27,11,7,2,1,1,0
8,71,35,11,12.0,2.0,64,64,30,4,3,5,3,1,1
9,69,34,9,14.0,3.0,65,62,29,2,2,-2,-1,-1,0
10,72,36,0,17.0,1.0,56,65,31,5,4,3,2,1,1
11,71,35,11,18.0,1.0,59,64,30,4,3,-1,-1,-1,0
12,69,34,9,19.0,1.0,61,62,29,2,2,-2,-1,-1,-1
13,62,30,2,20.0,2.0,72,55,25,7,5,-7,-4,-1,-2
14,62,30,2,24.0,1.0,60,55,25,7,5,0,0,0,-2
15,62,30,2,25.0,1.0,58,55,25,7,5,0,0,0,-2
16,67,33,7,26.0,2.0,72,60,28,0,1,5,3,1,-1
17,71,35,11,28.0,1.5,58,64,30,4,3,4,2,1,0
18,71,35,11,29.5,0.5,60,64,30,4,3,0,0,0,0
19,71,35,11,30.0,1.0,61,64,30,4,3,0,0,0,0
20,67,33,7,31.0,1.0,62,60,28,0,1,-4,-2,-1,-1
21,69,34,9,32.0,1.0,72,62,29,2,2,2,1,1,0
22,66,32,6,33.0,1.0,64,59,27,11,7,-3,-2,-1,-1
23,67,33,7,34.0,2.0,65,60,28,0,1,1,1,1,0
24,69,34,9,36.0,1.0,63,62,29,2,2,2,1,1,1
25,69,34,9,37.0,1.0,58,62,29,2,2,0,0,0,1
26,71,35,11,38.0,1.0,67,64,30,4,3,2,1,1,2
27,74,37,2,39.0,1.0,58,67,32,7,5,3,2,1,3
28,74,37,2,40.0,1.5,56,67,32,7,5,0,0,0,3
29,71,35,11,41.5,0.5,57,64,30,4,3,-3,-2,-1,2
30,72,36,0,42.0,1.0,60,65,31,5,4,1,1,1,3
31,67,33,7,43.0,1.0,64,60,28,0,1,-5,-3,-1,2
32,69,34,9,44.0,2.0,66,62,29,2,2,2,1,1,3
33,72,36,0,46.0,1.0,59,65,31,5,4,3,2,1,4
34,71,35,11,47.0,1.0,66,64,30,4,3,-1,-1,-1,3
35,69,34,9,48.0,1.0,56,62,29,2,2,-2,-1,-1,2
36,66,32,6,49.0,1.0,66,59,27,11,7,-3,-2,-1,1
37,67,33,7,50.0,2.0,67,60,28,0,1,1,1,1,2
38,62,30,2,54.0,1.0,61,55,25,7,5,-5,-3,-1,1
39,62,30,2,55.0,1.0,65,55,25,7,5,0,0,0,1
40,67,33,7,56.0,2.0,63,60,28,0,1,5,3,1,2
41,71,35,11,58.0,1.5,57,64,30,4,3,4,2,1,3
42,71,35,11,59.5,0.5,64,64,30,4,3,0,0,0,3
43,71,35,11,60.0,1.0,57,64,30,4,3,0,0,0,3
44,67,33,7,61.0,1.0,65,60,28,0,1,-4,-2,-1,2
45,69,34,9,62.0,1.0,64,62,29,2,2,2,1,1,3
46,66,32,6,63.0,1.0,63,59,27,11,7,-3,-2,-1,2
47,67,33,7,64.0,2.0,57,60,28,0,1,1,1,1,3
48,69,34,9,66.0,1.0,59,62,29,2,2,2,1,1,4
49,69,34,9,67.0,1.0,60,62,29,2,2,0,0,0,4
50,71,35,11,68.0,1.0,69,64,30,4,3,2,1,1,5
51,74,37,2,69.0,1.0,66,67,32,7,5,3,2,1,6
52,74,37,2,70.0,1.5,60,67,32,7,5,0,0,0,6
53,71,35,11,71.5,0.5,60,64,30,4,3,-3,-2,-1,5
54,72,36,0,72.0,1.0,65,65,31,5,4,1,1,1,6
55,67,33,7,73.0,1.0,66,60,28,0,1,-5,-3,-1,5
56,69,34,9,74.0,2.0,62,62,29,2,2,2,1,1,6
57,72,36,0,76.0,1.0,61,65,31,5,4,3,2,1,7
58,71,35,11,77.0,1.0,56,64,30,4,3,-1,-1,-1,6
59,69,34,9,78.0,1.0,56,62,29,2,2,-2,-1,-1,5
60,66,32,6,79.0,1.0,60,59,27,11,7,-3,-2,-1,4
61,67,33,7,80.0,2.0,62,60,28,0,1,1,1,1,5
