,midi_note_num,diatonic_note_num,chromatic_pitch_class,beat_strength,bar_num,offset,duration,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,62,30,2,0.25,0,0.0,2.0,0,-5,-3,7,5,0,0,0,0
1,67,33,7,1.0,1,2.0,4.0,0,0,0,0,1,5,3,1,1
2,74,37,2,0.25,1,6.0,2.0,0,7,4,7,5,7,4,1,2
3,72,36,0,0.5,1,8.0,4.0,0,5,3,5,4,-2,-1,-1,1
4,71,35,11,0.25,1,12.0,2.0,0,4,2,4,3,-1,-1,-1,0
5,69,34,9,1.0,2,14.0,6.0,0,2,1,2,2,-2,-1,-1,-1
6,69,34,9,0.5,2,20.0,4.0,0,2,1,2,2,0,0,0,-1
7,69,34,9,0.25,2,24.0,2.0,0,2,1,2,2,0,0,0,-1
8,69,34,9,1.0,3,26.0,4.0,0,2,1,2,2,0,0,0,-1
9,67,33,7,0.25,3,30.0,2.0,0,0,0,0,1,-2,-1,-1,-2
10,66,32,6,0.5,3,32.0,4.0,0,-1,-1,11,7,-1,-1,-1,-3
11,64,31,4,0.25,3,36.0,2.0,0,-3,-2,9,6,-2,-1,-1,-4
12,62,30,2,1.0,4,38.0,6.0,0,-5,-3,7,5,-2,-1,-1,-5
13,62,30,2,0.5,4,44.0,4.0,0,-5,-3,7,5,0,0,0,-5
14,62,30,2,0.25,4,48.0,2.0,0,-5,-3,7,5,0,0,0,-5
15,71,35,11,1.0,5,50.0,4.0,0,4,2,4,3,9,5,1,-4
16,71,35,11,0.25,5,54.0,2.0,0,4,2,4,3,0,0,0,-4
17,69,34,9,0.5,5,56.0,4.0,0,2,1,2,2,-2,-1,-1,-5
18,71,35,11,0.25,5,60.0,2.0,0,4,2,4,3,2,1,1,-4
19,72,36,0,1.0,6,62.0,6.0,0,5,3,5,4,1,1,1,-3
20,72,36,0,0.5,6,68.0,4.0,0,5,3,5,4,0,0,0,-3
21,64,31,4,0.25,6,72.0,1.0,0,-3,-2,9,6,-8,-5,-1,-4
22,64,31,4,0.125,6,73.0,1.0,0,-3,-2,9,6,0,0,0,-4
23,62,30,2,1.0,7,74.0,4.0,0,-5,-3,7,5,-2,-1,-1,-5
24,67,33,7,0.25,7,78.0,2.0,0,0,0,0,1,5,3,1,-4
25,69,34,9,0.5,7,80.0,4.0,0,2,1,2,2,2,1,1,-3
26,71,35,11,0.25,7,84.0,2.0,0,4,2,4,3,2,1,1,-2
27,67,33,7,1.0,8,86.0,6.0,0,0,0,0,1,-4,-2,-1,-3
28,67,33,7,0.5,8,92.0,4.0,0,0,0,0,1,0,0,0,-3
29,62,30,2,0.25,8,96.0,2.0,0,-5,-3,7,5,-5,-3,-1,-4
30,67,33,7,1.0,9,98.0,2.0,0,0,0,0,1,5,3,1,-3
31,67,33,7,0.25,9,100.0,2.0,0,0,0,0,1,0,0,0,-3
