,midi_note_num,diatonic_note_num,chromatic_pitch_class,beat_strength,bar_num,offset,duration,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,62,30,2,0.25,0,0.0,1.0,0,-5,-3,7,5,0,0,0,0
1,62,30,2,0.125,0,1.0,1.0,0,-5,-3,7,5,0,0,0,0
2,67,33,7,1.0,1,2.0,2.0,0,0,0,0,1,5,3,1,1
3,76,38,4,0.25,1,4.0,2.0,0,9,5,9,6,9,5,1,2
4,74,37,2,0.5,1,6.0,2.0,0,7,4,7,5,-2,-1,-1,1
5,72,36,0,0.25,1,8.0,1.0,0,5,3,5,4,-2,-1,-1,0
6,71,35,11,0.125,1,9.0,1.0,0,4,2,4,3,-1,-1,-1,-1
7,69,34,9,1.0,2,10.0,2.0,0,2,1,2,2,-2,-1,-1,-2
8,66,32,6,0.25,2,12.0,1.0,0,-1,-1,11,7,-3,-2,-1,-3
9,64,31,4,0.125,2,13.0,1.0,0,-3,-2,9,6,-2,-1,-1,-4
10,62,30,2,0.5,2,14.0,2.0,0,-5,-3,7,5,-2,-1,-1,-5
11,64,31,4,0.25,2,16.0,1.0,0,-3,-2,9,6,2,1,1,-4
12,66,32,6,0.125,2,17.0,1.0,0,-1,-1,11,7,2,1,1,-3
13,67,33,7,1.0,3,18.0,2.0,0,0,0,0,1,1,1,1,-2
14,71,35,11,0.25,3,20.0,1.0,0,4,2,4,3,4,2,1,-1
15,76,38,4,0.125,3,21.0,1.0,0,9,5,9,6,5,3,1,0
16,74,37,2,0.5,3,22.0,2.0,0,7,4,7,5,-2,-1,-1,-1
17,72,36,0,0.25,3,24.0,1.0,0,5,3,5,4,-2,-1,-1,-2
18,71,35,11,0.125,3,25.0,1.0,0,4,2,4,3,-1,-1,-1,-3
19,69,34,9,1.0,4,26.0,4.0,0,2,1,2,2,-2,-1,-1,-4
20,69,34,9,0.0,4,30.0,2.0,0,2,1,2,2,0,0,0,-4
21,69,34,9,0.25,4,32.0,1.0,0,2,1,2,2,0,0,0,-4
22,71,35,11,0.125,4,33.0,1.0,0,4,2,4,3,2,1,1,-3
23,72,36,0,1.0,5,34.0,2.0,0,5,3,5,4,1,1,1,-2
24,72,36,0,0.25,5,36.0,2.0,0,5,3,5,4,0,0,0,-2
25,76,38,4,0.5,5,38.0,2.0,0,9,5,9,6,4,2,1,-1
26,76,38,4,0.25,5,40.0,2.0,0,9,5,9,6,0,0,0,-1
27,74,37,2,1.0,6,42.0,2.0,0,7,4,7,5,-2,-1,-1,-2
28,71,35,11,0.25,6,44.0,1.0,0,4,2,4,3,-3,-2,-1,-3
29,74,37,2,0.125,6,45.0,1.0,0,7,4,7,5,3,2,1,-2
30,74,37,2,0.5,6,46.0,2.0,0,7,4,7,5,0,0,0,-2
31,76,38,4,0.25,6,48.0,1.0,0,9,5,9,6,2,1,1,-1
32,74,37,2,0.125,6,49.0,1.0,0,7,4,7,5,-2,-1,-1,-2
33,72,36,0,1.0,7,50.0,2.0,0,5,3,5,4,-2,-1,-1,-3
34,72,36,0,0.25,7,52.0,2.0,0,5,3,5,4,0,0,0,-3
35,71,35,11,0.5,7,54.0,2.0,0,4,2,4,3,-1,-1,-1,-4
36,74,37,2,0.25,7,56.0,1.0,0,7,4,7,5,3,2,1,-3
37,71,35,11,0.125,7,57.0,1.0,0,4,2,4,3,-3,-2,-1,-4
38,69,34,9,1.0,8,58.0,3.0,0,2,1,2,2,-2,-1,-1,-5
39,66,32,6,0.125,8,61.0,1.0,0,-1,-1,11,7,-3,-2,-1,-6
40,67,33,7,0.5,8,62.0,2.0,0,0,0,0,1,1,1,1,-5
