,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,67,33,7,0.0,1.0,69,60,28,0,1,0,0,0,0
1,69,34,9,1.0,1.0,62,62,29,2,2,2,1,1,1
2,71,35,11,2.0,1.0,65,64,30,4,3,2,1,1,2
3,74,37,2,3.0,1.0,59,67,32,7,5,3,2,1,3
4,74,37,2,4.0,1.0,69,67,32,7,5,0,0,0,3
5,74,37,2,5.0,1.0,60,67,32,7,5,0,0,0,3
6,74,37,2,6.0,2.0,66,67,32,7,5,0,0,0,3
7,72,36,0,8.0,1.0,66,65,31,5,4,-2,-1,-1,2
8,71,35,11,9.0,1.0,65,64,30,4,3,-1,-1,-1,1
9,71,35,11,10.0,2.0,64,64,30,4,3,0,0,0,1
10,69,34,9,12.0,2.0,60,62,29,2,2,-2,-1,-1,0
11,69,34,9,16.0,1.0,62,62,29,2,2,0,0,0,0
12,71,35,11,17.0,1.0,57,64,30,4,3,2,1,1,1
13,72,36,0,18.0,1.0,64,65,31,5,4,1,1,1,2
14,76,38,4,19.0,1.0,56,69,33,9,6,4,2,1,3
15,76,38,4,20.0,1.0,59,69,33,9,6,0,0,0,3
16,76,38,4,21.0,1.0,58,69,33,9,6,0,0,0,3
17,76,38,4,22.0,2.0,64,69,33,9,6,0,0,0,3
18,74,37,2,24.0,1.0,61,67,32,7,5,-2,-1,-1,2
19,72,36,0,25.0,1.0,63,65,31,5,4,-2,-1,-1,1
20,74,37,2,26.0,2.0,65,67,32,7,5,2,1,1,2
21,71,35,11,28.0,2.0,69,64,30,4,3,-3,-2,-1,1
22,67,33,7,32.0,1.0,64,60,28,0,1,-4,-2,-1,0
23,71,35,11,33.0,1.0,57,64,30,4,3,4,2,1,1
24,74,37,2,34.0,2.0,70,67,32,7,5,3,2,1,2
25,74,37,2,36.0,1.5,65,67,32,7,5,0,0,0,2
26,74,37,2,37.5,0.5,58,67,32,7,5,0,0,0,2
27,74,37,2,38.0,1.0,68,67,32,7,5,0,0,0,2
28,74,37,2,39.0,1.0,64,67,32,7,5,0,0,0,2
29,72,36,0,40.0,1.0,66,65,31,5,4,-2,-1,-1,1
30,74,37,2,41.0,1.0,57,67,32,7,5,2,1,1,2
31,76,38,4,42.0,2.0,66,69,33,9,6,2,1,1,3
32,76,38,4,44.0,2.0,61,69,33,9,6,0,0,0,3
33,79,40,7,46.0,2.0,64,72,35,0,1,3,2,1,4
34,78,39,6,48.0,1.0,69,71,34,11,7,-1,-1,-1,3
35,76,38,4,49.0,1.0,59,69,33,9,6,-2,-1,-1,2
36,74,37,2,50.0,2.0,68,67,32,7,5,-2,-1,-1,1
37,74,37,2,52.0,1.5,69,67,32,7,5,0,0,0,1
38,74,37,2,53.5,0.5,58,67,32,7,5,0,0,0,1
39,74,37,2,54.0,1.0,70,67,32,7,5,0,0,0,1
40,74,37,2,55.0,1.0,59,67,32,7,5,0,0,0,1
41,72,36,0,56.0,1.0,64,65,31,5,4,-2,-1,-1,0
42,72,36,0,57.0,1.0,60,65,31,5,4,0,0,0,0
43,71,35,11,58.0,4.0,72,64,30,4,3,-1,-1,-1,-1
