eighth_note,midi_note_num,diatonic_note_num,chromatic_pitch_class,beat_strength,bar_num,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,74,37,2,0,1,0,7,4,7,5,0,0,0,0
1,74,37,2,0,1,0,7,4,7,5,0,0,0,0
2,78,39,6,0,1,0,11,6,11,7,4,2,1,1
3,76,38,4,0,1,0,9,5,9,6,-2,-1,-1,0
4,74,37,2,0,1,0,7,4,7,5,-2,-1,-1,-1
5,74,37,2,0,1,0,7,4,7,5,-2,-1,-1,-1
6,76,38,4,0,1,0,9,5,9,6,2,1,1,0
7,76,38,4,0,1,0,9,5,9,6,2,1,1,0
8,74,37,2,0,1,0,7,4,7,5,-2,-1,-1,-1
9,69,34,9,0,1,0,2,1,2,2,-5,-3,-1,-2
10,71,35,11,0,1,0,4,2,4,3,2,1,1,-1
11,72,36,0,0,1,0,5,3,5,4,1,1,1,0
12,71,35,11,0,1,0,4,2,4,3,-1,-1,-1,-1
13,69,34,9,0,1,0,2,1,2,2,-2,-1,-1,-2
14,67,33,7,0,1,0,0,0,0,1,-2,-1,-1,-3
15,72,36,0,0,1,0,5,3,5,4,5,3,1,-2
16,71,35,11,0,1,0,4,2,4,3,-1,-1,-1,-3
17,69,34,9,0,1,0,2,1,2,2,-2,-1,-1,-4
18,74,37,2,0,1,0,7,4,7,5,5,3,1,-3
19,74,37,2,0,1,0,7,4,7,5,0,0,0,-3
20,78,39,6,0,1,0,11,6,11,7,4,2,1,-2
21,76,38,4,0,1,0,9,5,9,6,-2,-1,-1,-3
22,74,37,2,0,1,0,7,4,7,5,-2,-1,-1,-4
23,74,37,2,0,1,0,7,4,7,5,-2,-1,-1,-4
24,76,38,4,0,1,0,9,5,9,6,2,1,1,-3
25,76,38,4,0,1,0,9,5,9,6,2,1,1,-3
26,74,37,2,0,1,0,7,4,7,5,-2,-1,-1,-4
27,67,33,7,0,1,0,0,0,0,1,-7,-4,-1,-5
28,71,35,11,0,1,0,4,2,4,3,4,2,1,-4
29,72,36,0,0,1,0,5,3,5,4,1,1,1,-3
30,71,35,11,0,1,0,4,2,4,3,-1,-1,-1,-4
31,69,34,9,0,1,0,2,1,2,2,-2,-1,-1,-5
32,67,33,7,0,1,0,0,0,0,1,-2,-1,-1,-6
33,72,36,0,0,1,0,5,3,5,4,5,3,1,-5
34,71,35,11,0,1,0,4,2,4,3,-1,-1,-1,-6
35,69,34,9,0,1,0,2,1,2,2,-2,-1,-1,-7
36,74,37,2,0,1,0,7,4,7,5,5,3,1,-6
37,74,37,2,0,1,0,7,4,7,5,5,3,1,-6
38,76,38,4,0,1,0,9,5,9,6,2,1,1,-5
39,74,37,2,0,1,0,7,4,7,5,-2,-1,-1,-6
40,74,37,2,0,1,0,7,4,7,5,0,0,0,-6
41,76,38,4,0,1,0,9,5,9,6,2,1,1,-5
42,74,37,2,0,1,0,7,4,7,5,-2,-1,-1,-6
43,67,33,7,0,1,0,0,0,0,1,-7,-4,-1,-7
44,71,35,11,0,1,0,4,2,4,3,4,2,1,-6
45,74,37,2,0,1,0,7,4,7,5,3,2,1,-5
46,76,38,4,0,1,0,9,5,9,6,2,1,1,-4
47,74,37,2,0,1,0,7,4,7,5,-2,-1,-1,-5
48,74,37,2,0,1,0,7,4,7,5,0,0,0,-5
49,76,38,4,0,1,0,9,5,9,6,2,1,1,-4
50,74,37,2,0,1,0,7,4,7,5,-2,-1,-1,-5
51,67,33,7,0,1,0,0,0,0,1,-7,-4,-1,-6
52,71,35,11,0,1,0,4,2,4,3,4,2,1,-5
53,71,35,11,0,1,0,4,2,4,3,0,0,0,-5
54,71,35,11,0,1,0,4,2,4,3,0,0,0,-5
55,69,34,9,0,1,0,2,1,2,2,-2,-1,-1,-6
56,74,37,2,0,1,0,7,4,7,5,5,3,1,-5
57,74,37,2,0,1,0,7,4,7,5,5,3,1,-5
58,79,40,7,0,1,0,12,7,0,1,5,3,1,-4
59,78,39,6,0,1,0,11,6,11,7,-1,-1,-1,-5
60,79,40,7,0,1,0,12,7,0,1,1,1,1,-4
61,74,37,2,0,1,0,7,4,7,5,-5,-3,-1,-5
62,79,40,7,0,1,0,12,7,0,1,5,3,1,-4
63,79,40,7,0,1,0,12,7,0,1,5,3,1,-4
64,79,40,7,0,1,0,12,7,0,1,5,3,1,-4
65,78,39,6,0,1,0,11,6,11,7,-1,-1,-1,-5
66,76,38,4,0,1,0,9,5,9,6,-2,-1,-1,-6
67,74,37,2,0,1,0,7,4,7,5,-2,-1,-1,-7
68,69,34,9,0,1,0,2,1,2,2,-5,-3,-1,-8
69,69,34,9,0,1,0,2,1,2,2,-5,-3,-1,-8
70,69,34,9,0,1,0,2,1,2,2,0,0,0,-8
71,71,35,11,0,1,0,4,2,4,3,2,1,1,-7
72,73,36,1,0,1,0,6,3,6,4,2,1,1,-6
