eighth_note,midi_note_num,diatonic_note_num,chromatic_pitch_class,beat_strength,bar_num,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,62,30,2,0,1,0,-5,-3,7,5,0,0,0,0
1,67,33,7,0,1,0,0,0,0,1,5,3,1,1
2,67,33,7,0,1,0,0,0,0,1,5,3,1,1
3,69,34,9,0,1,0,2,1,2,2,2,1,1,2
4,69,34,9,0,1,0,2,1,2,2,2,1,1,2
5,71,35,11,0,1,0,4,2,4,3,2,1,1,3
6,71,35,11,0,1,0,4,2,4,3,2,1,1,3
7,69,34,9,0,1,0,2,1,2,2,-2,-1,-1,2
8,69,34,9,0,1,0,2,1,2,2,-2,-1,-1,2
9,69,34,9,0,1,0,2,1,2,2,-2,-1,-1,2
10,69,34,9,0,1,0,2,1,2,2,-2,-1,-1,2
11,69,34,9,0,1,0,2,1,2,2,0,0,0,2
12,69,34,9,0,1,0,2,1,2,2,0,0,0,2
13,69,34,9,0,1,0,2,1,2,2,0,0,0,2
14,67,33,7,0,1,0,0,0,0,1,-2,-1,-1,1
15,71,35,11,0,1,0,4,2,4,3,4,2,1,2
16,71,35,11,0,1,0,4,2,4,3,4,2,1,2
17,69,34,9,0,1,0,2,1,2,2,-2,-1,-1,1
18,69,34,9,0,1,0,2,1,2,2,-2,-1,-1,1
19,62,30,2,0,1,0,-5,-3,7,5,-7,-4,-1,0
20,62,30,2,0,1,0,-5,-3,7,5,-7,-4,-1,0
21,62,30,2,0,1,0,-5,-3,7,5,-7,-4,-1,0
22,62,30,2,0,1,0,-5,-3,7,5,-7,-4,-1,0
23,62,30,2,0,1,0,-5,-3,7,5,-7,-4,-1,0
24,62,30,2,0,1,0,-5,-3,7,5,-7,-4,-1,0
25,67,33,7,0,1,0,0,0,0,1,5,3,1,1
26,67,33,7,0,1,0,0,0,0,1,5,3,1,1
27,69,34,9,0,1,0,2,1,2,2,2,1,1,2
28,69,34,9,0,1,0,2,1,2,2,2,1,1,2
29,71,35,11,0,1,0,4,2,4,3,2,1,1,3
30,71,35,11,0,1,0,4,2,4,3,2,1,1,3
31,69,34,9,0,1,0,2,1,2,2,-2,-1,-1,2
32,69,34,9,0,1,0,2,1,2,2,-2,-1,-1,2
33,69,34,9,0,1,0,2,1,2,2,-2,-1,-1,2
34,69,34,9,0,1,0,2,1,2,2,-2,-1,-1,2
35,67,33,7,0,1,0,0,0,0,1,-2,-1,-1,1
36,67,33,7,0,1,0,0,0,0,1,-2,-1,-1,1
37,67,33,7,0,1,0,0,0,0,1,-2,-1,-1,1
38,67,33,7,0,1,0,0,0,0,1,-2,-1,-1,1
39,71,35,11,0,1,0,4,2,4,3,4,2,1,2
40,71,35,11,0,1,0,4,2,4,3,4,2,1,2
41,69,34,9,0,1,0,2,1,2,2,-2,-1,-1,1
42,69,34,9,0,1,0,2,1,2,2,-2,-1,-1,1
43,69,34,9,0,1,0,2,1,2,2,0,0,0,1
44,69,34,9,0,1,0,2,1,2,2,0,0,0,1
45,69,34,9,0,1,0,2,1,2,2,0,0,0,1
46,69,34,9,0,1,0,2,1,2,2,0,0,0,1
47,62,30,2,0,1,0,-5,-3,7,5,-7,-4,-1,0
48,62,30,2,0,1,0,-5,-3,7,5,0,0,0,0
49,62,30,2,0,1,0,-5,-3,7,5,0,0,0,0
50,67,33,7,0,1,0,0,0,0,1,5,3,1,1
51,71,35,11,0,1,0,4,2,4,3,4,2,1,2
52,71,35,11,0,1,0,4,2,4,3,4,2,1,2
53,76,38,4,0,1,0,9,5,9,6,5,3,1,3
54,76,38,4,0,1,0,9,5,9,6,5,3,1,3
55,76,38,4,0,1,0,9,5,9,6,0,0,0,3
56,74,37,2,0,1,0,7,4,7,5,-2,-1,-1,2
57,76,38,4,0,1,0,9,5,9,6,2,1,1,3
58,76,38,4,0,1,0,9,5,9,6,2,1,1,3
59,74,37,2,0,1,0,7,4,7,5,-2,-1,-1,2
60,74,37,2,0,1,0,7,4,7,5,-2,-1,-1,2
61,76,38,4,0,1,0,9,5,9,6,2,1,1,3
62,76,38,4,0,1,0,9,5,9,6,2,1,1,3
63,76,38,4,0,1,0,9,5,9,6,0,0,0,3
64,76,38,4,0,1,0,9,5,9,6,0,0,0,3
65,74,37,2,0,1,0,7,4,7,5,-2,-1,-1,2
66,74,37,2,0,1,0,7,4,7,5,-2,-1,-1,2
67,71,35,11,0,1,0,4,2,4,3,-3,-2,-1,1
68,71,35,11,0,1,0,4,2,4,3,-3,-2,-1,1
69,64,31,4,0,1,0,-3,-2,9,6,-7,-4,-1,0
70,64,31,4,0,1,0,-3,-2,9,6,-7,-4,-1,0
71,62,30,2,0,1,0,-5,-3,7,5,-2,-1,-1,-1
72,62,30,2,0,1,0,-5,-3,7,5,-2,-1,-1,-1
73,62,30,2,0,1,0,-5,-3,7,5,-2,-1,-1,-1
74,62,30,2,0,1,0,-5,-3,7,5,-2,-1,-1,-1
75,62,30,2,0,1,0,-5,-3,7,5,-2,-1,-1,-1
76,62,30,2,0,1,0,-5,-3,7,5,-2,-1,-1,-1
77,72,36,0,0,1,0,5,3,5,4,10,6,1,0
78,72,36,0,0,1,0,5,3,5,4,10,6,1,0
79,71,35,11,0,1,0,4,2,4,3,-1,-1,-1,-1
80,71,35,11,0,1,0,4,2,4,3,-1,-1,-1,-1
81,69,34,9,0,1,0,2,1,2,2,-2,-1,-1,-2
82,69,34,9,0,1,0,2,1,2,2,-2,-1,-1,-2
83,67,33,7,0,1,0,0,0,0,1,-2,-1,-1,-3
84,67,33,7,0,1,0,0,0,0,1,-2,-1,-1,-3
85,67,33,7,0,1,0,0,0,0,1,-2,-1,-1,-3
86,67,33,7,0,1,0,0,0,0,1,-2,-1,-1,-3
87,62,30,2,0,1,0,-5,-3,7,5,-5,-3,-1,-4
88,62,30,2,0,1,0,-5,-3,7,5,-5,-3,-1,-4
89,62,30,2,0,1,0,-5,-3,7,5,-5,-3,-1,-4
90,62,30,2,0,1,0,-5,-3,7,5,-5,-3,-1,-4
91,71,35,11,0,1,0,4,2,4,3,9,5,1,-3
92,71,35,11,0,1,0,4,2,4,3,9,5,1,-3
93,67,33,7,0,1,0,0,0,0,1,-4,-2,-1,-4
94,67,33,7,0,1,0,0,0,0,1,-4,-2,-1,-4
95,67,33,7,0,1,0,0,0,0,1,-4,-2,-1,-4
96,67,33,7,0,1,0,0,0,0,1,-4,-2,-1,-4
97,69,34,9,0,1,0,2,1,2,2,2,1,1,-3
98,69,34,9,0,1,0,2,1,2,2,2,1,1,-3
99,69,34,9,0,1,0,2,1,2,2,2,1,1,-3
100,69,34,9,0,1,0,2,1,2,2,2,1,1,-3
101,71,35,11,0,1,0,4,2,4,3,2,1,1,-2
102,71,35,11,0,1,0,4,2,4,3,2,1,1,-2
103,71,35,11,0,1,0,4,2,4,3,2,1,1,-2
104,69,34,9,0,1,0,2,1,2,2,-2,-1,-1,-3
105,67,33,7,0,1,0,0,0,0,1,-2,-1,-1,-4
