eighth_note,midi_note_num,diatonic_note_num,chromatic_pitch_class,beat_strength,bar_num,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,67,33,7,0,1,0,0,0,0,1,0,0,0,0
1,71,35,11,0,1,0,4,2,4,3,4,2,1,1
2,69,34,9,0,1,0,2,1,2,2,-2,-1,-1,0
3,71,35,11,0,1,0,4,2,4,3,2,1,1,1
4,69,34,9,0,1,0,2,1,2,2,-2,-1,-1,0
5,71,35,11,0,1,0,4,2,4,3,2,1,1,1
6,72,36,0,0,1,0,5,3,5,4,1,1,1,2
7,74,37,2,0,1,0,7,4,7,5,2,1,1,3
8,74,37,2,0,1,0,7,4,7,5,0,0,0,3
9,74,37,2,0,1,0,7,4,7,5,0,0,0,3
10,74,37,2,0,1,0,7,4,7,5,0,0,0,3
11,76,38,4,0,1,0,9,5,9,6,2,1,1,4
12,81,41,9,0,1,0,14,8,2,2,5,3,1,5
13,79,40,7,0,1,0,12,7,0,1,-2,-1,-1,4
14,78,39,6,0,1,0,11,6,11,7,-1,-1,-1,3
15,78,39,6,0,1,0,11,6,11,7,-1,-1,-1,3
16,76,38,4,0,1,0,9,5,9,6,-2,-1,-1,2
17,74,37,2,0,1,0,7,4,7,5,-2,-1,-1,1
18,74,37,2,0,1,0,7,4,7,5,0,0,0,1
19,74,37,2,0,1,0,7,4,7,5,0,0,0,1
20,79,40,7,0,1,0,12,7,0,1,5,3,1,2
21,79,40,7,0,1,0,12,7,0,1,0,0,0,2
22,74,37,2,0,1,0,7,4,7,5,-5,-3,-1,1
23,74,37,2,0,1,0,7,4,7,5,-5,-3,-1,1
24,76,38,4,0,1,0,9,5,9,6,2,1,1,2
25,76,38,4,0,1,0,9,5,9,6,0,0,0,2
26,72,36,0,0,1,0,5,3,5,4,-4,-2,-1,1
27,72,36,0,0,1,0,5,3,5,4,-4,-2,-1,1
28,72,36,0,0,1,0,5,3,5,4,0,0,0,1
29,74,37,2,0,1,0,7,4,7,5,2,1,1,2
30,76,38,4,0,1,0,9,5,9,6,2,1,1,3
31,74,37,2,0,1,0,7,4,7,5,-2,-1,-1,2
32,74,37,2,0,1,0,7,4,7,5,0,0,0,2
33,74,37,2,0,1,0,7,4,7,5,0,0,0,2
34,71,35,11,0,1,0,4,2,4,3,-3,-2,-1,1
35,71,35,11,0,1,0,4,2,4,3,-3,-2,-1,1
36,67,33,7,0,1,0,0,0,0,1,-4,-2,-1,0
37,74,37,2,0,1,0,7,4,7,5,7,4,1,1
38,74,37,2,0,1,0,7,4,7,5,0,0,0,1
39,71,35,11,0,1,0,4,2,4,3,-3,-2,-1,0
40,69,34,9,0,1,0,2,1,2,2,-2,-1,-1,-1
41,69,34,9,0,1,0,2,1,2,2,0,0,0,-1
42,67,33,7,0,1,0,0,0,0,1,-2,-1,-1,-2
43,67,33,7,0,1,0,0,0,0,1,0,0,0,-2
